Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo X-' X-s O-Nik X-##ke X-##i O-Index O-of B-dependent-225 B-head-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 B-dependent-7 X-/ X-16 B-head-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% B-dependent-three B-head-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; B-dependent-8 O-1 X-/ X-2 B-head-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 B-dependent-1 X-/ X-2 B-head-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 B-dependent-3 X-/ X-8 B-head-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% B-dependent-four B-head-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; B-dependent-8 O-7 X-/ X-16 B-head-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 B-dependent-7 X-/ X-16 B-head-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to B-dependent-8 O-5 O-/ O-16 B-head-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 B-dependent-5 O-/ O-16 B-head-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% B-dependent-five B-head-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; B-dependent-8 O-7 X-/ X-16 B-head-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 B-dependent-7 X-/ X-16 B-head-% O-to O-8 O-5 X-/ X-16 O-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 B-dependent-5 X-/ X-16 B-head-% O-six O-months O-.
LONDON LATE EURODOLLARS: 8 5/8% to 8 1/2% one month; 8 9/16% to 8 7/16% two months; 8 9/16% to 8 7/16% three months; 8 1/2% to 8 3/8% four months; 8 7/16% to 8 5/ 16% five months; 8 7/16% to 8 5/16% six months.,O-L X-##ON X-##D X-##ON O-LA X-##TE O-EU X-##RO X-##D X-##OL X-##LA X-##RS O-: O-8 O-5 X-/ X-8 O-% O-to O-8 O-1 X-/ X-2 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-two O-months O-; O-8 O-9 X-/ X-16 O-% O-to O-8 O-7 X-/ X-16 O-% O-three O-months O-; O-8 O-1 X-/ X-2 O-% O-to O-8 O-3 X-/ X-8 O-% O-four O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 O-/ O-16 O-% O-five O-months O-; O-8 O-7 X-/ X-16 O-% O-to O-8 O-5 X-/ X-16 O-% B-dependent-six B-head-months O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: B-dependent-8 O-5 X-/ X-8 B-head-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 B-dependent-5 X-/ X-8 B-head-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% B-dependent-one B-head-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; B-dependent-8 O-9 X-/ X-16 B-head-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 B-dependent-9 X-/ X-16 B-head-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% B-dependent-three B-head-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; B-dependent-8 O-7 X-/ X-16 B-head-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 B-dependent-7 X-/ X-16 B-head-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% B-dependent-six B-head-months O-; O-8 O-7 X-/ X-16 O-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; B-dependent-8 O-7 X-/ X-16 B-head-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 B-dependent-7 X-/ X-16 B-head-% O-one O-year O-.
LONDON INTERBANK OFFERED RATES (LIBOR): 8 5/8% one month; 8 9/16% three months; 8 7/16% six months; 8 7/16% one year.,O-L X-##ON X-##D X-##ON O-IN X-##TE X-##RB X-##AN X-##K O-OF X-##F X-##ER X-##ED O-RA X-##TE X-##S O-( O-L X-##IB X-##OR O-) O-: O-8 O-5 X-/ X-8 O-% O-one O-month O-; O-8 O-9 X-/ X-16 O-% O-three O-months O-; O-8 O-7 X-/ X-16 O-% O-six O-months O-; O-8 O-7 X-/ X-16 O-% B-dependent-one B-head-year O-.
The average of interbank offered rates for dollar deposits in the London market based on quotations at five major banks.,O-The O-average O-of O-inter X-##bank O-offered O-rates O-for O-dollar O-deposits O-in O-the O-London O-market O-based O-on O-quota X-##tions O-at B-dependent-five O-major B-head-banks O-.
FOREIGN PRIME RATES: Canada 13.50%; Germany 8.50%; Japan 4.875%; Switzerland 8.50%; Britain 15%.,O-F X-##OR X-##EI X-##G X-##N O-PR X-##IM X-##E O-RA X-##TE X-##S O-: O-Canada B-dependent-13 X-. X-50 B-head-% O-; O-Germany O-8 X-. X-50 O-% O-; O-Japan O-4 X-. X-87 X-##5 O-% O-; O-Switzerland O-8 X-. X-50 O-% O-; O-Britain O-15 O-% O-.
FOREIGN PRIME RATES: Canada 13.50%; Germany 8.50%; Japan 4.875%; Switzerland 8.50%; Britain 15%.,O-F X-##OR X-##EI X-##G X-##N O-PR X-##IM X-##E O-RA X-##TE X-##S O-: O-Canada O-13 X-. X-50 O-% O-; O-Germany B-dependent-8 X-. X-50 B-head-% O-; O-Japan O-4 X-. X-87 X-##5 O-% O-; O-Switzerland O-8 X-. X-50 O-% O-; O-Britain O-15 O-% O-.
FOREIGN PRIME RATES: Canada 13.50%; Germany 8.50%; Japan 4.875%; Switzerland 8.50%; Britain 15%.,O-F X-##OR X-##EI X-##G X-##N O-PR X-##IM X-##E O-RA X-##TE X-##S O-: O-Canada O-13 X-. X-50 O-% O-; O-Germany O-8 X-. X-50 O-% O-; O-Japan B-dependent-4 X-. X-87 X-##5 B-head-% O-; O-Switzerland O-8 X-. X-50 O-% O-; O-Britain O-15 O-% O-.
FOREIGN PRIME RATES: Canada 13.50%; Germany 8.50%; Japan 4.875%; Switzerland 8.50%; Britain 15%.,O-F X-##OR X-##EI X-##G X-##N O-PR X-##IM X-##E O-RA X-##TE X-##S O-: O-Canada O-13 X-. X-50 O-% O-; O-Germany O-8 X-. X-50 O-% O-; O-Japan O-4 X-. X-87 X-##5 O-% O-; O-Switzerland B-dependent-8 X-. X-50 B-head-% O-; O-Britain O-15 O-% O-.
FOREIGN PRIME RATES: Canada 13.50%; Germany 8.50%; Japan 4.875%; Switzerland 8.50%; Britain 15%.,O-F X-##OR X-##EI X-##G X-##N O-PR X-##IM X-##E O-RA X-##TE X-##S O-: O-Canada O-13 X-. X-50 O-% O-; O-Germany O-8 X-. X-50 O-% O-; O-Japan O-4 X-. X-87 X-##5 O-% O-; O-Switzerland O-8 X-. X-50 O-% O-; O-Britain B-dependent-15 B-head-% O-.
"TREASURY BILLS: Results of the Monday, October 16, 1989, auction of short-term U.S. government bills, sold at a discount from face value in units of $10,000 to $1 million: 7.37% 13 weeks; 7.42% 26 weeks.","O-T X-##RE X-##AS X-##UR X-##Y O-B X-##IL X-##LS O-: O-Results O-of O-the O-Monday O-, B-head-October B-dependent-16 O-, O-1989 O-, O-auction O-of O-short O-- O-term O-U X-. X-S X-. O-government O-bills O-, O-sold O-at O-a O-discount O-from O-face O-value O-in O-units O-of O-$ O-10 X-, X-000 O-to O-$ O-1 O-million O-: O-7 X-. X-37 O-% O-13 O-weeks O-; O-7 X-. X-42 O-% O-26 O-weeks O-."
"TREASURY BILLS: Results of the Monday, October 16, 1989, auction of short-term U.S. government bills, sold at a discount from face value in units of $10,000 to $1 million: 7.37% 13 weeks; 7.42% 26 weeks.","O-T X-##RE X-##AS X-##UR X-##Y O-B X-##IL X-##LS O-: O-Results O-of O-the O-Monday O-, B-head-October O-16 O-, B-dependent-1989 O-, O-auction O-of O-short O-- O-term O-U X-. X-S X-. O-government O-bills O-, O-sold O-at O-a O-discount O-from O-face O-value O-in O-units O-of O-$ O-10 X-, X-000 O-to O-$ O-1 O-million O-: O-7 X-. X-37 O-% O-13 O-weeks O-; O-7 X-. X-42 O-% O-26 O-weeks O-."
"TREASURY BILLS: Results of the Monday, October 16, 1989, auction of short-term U.S. government bills, sold at a discount from face value in units of $10,000 to $1 million: 7.37% 13 weeks; 7.42% 26 weeks.","O-T X-##RE X-##AS X-##UR X-##Y O-B X-##IL X-##LS O-: O-Results O-of O-the O-Monday O-, O-October O-16 O-, O-1989 O-, O-auction O-of O-short O-- O-term O-U X-. X-S X-. O-government O-bills O-, O-sold O-at O-a O-discount O-from O-face O-value O-in O-units O-of B-head-$ B-dependent-10 X-, X-000 O-to O-$ O-1 O-million O-: O-7 X-. X-37 O-% O-13 O-weeks O-; O-7 X-. X-42 O-% O-26 O-weeks O-."
"TREASURY BILLS: Results of the Monday, October 16, 1989, auction of short-term U.S. government bills, sold at a discount from face value in units of $10,000 to $1 million: 7.37% 13 weeks; 7.42% 26 weeks.","O-T X-##RE X-##AS X-##UR X-##Y O-B X-##IL X-##LS O-: O-Results O-of O-the O-Monday O-, O-October O-16 O-, O-1989 O-, O-auction O-of O-short O-- O-term O-U X-. X-S X-. O-government O-bills O-, O-sold O-at O-a O-discount O-from O-face O-value O-in O-units O-of O-$ O-10 X-, X-000 O-to B-head-$ O-1 B-dependent-million O-: O-7 X-. X-37 O-% O-13 O-weeks O-; O-7 X-. X-42 O-% O-26 O-weeks O-."
"TREASURY BILLS: Results of the Monday, October 16, 1989, auction of short-term U.S. government bills, sold at a discount from face value in units of $10,000 to $1 million: 7.37% 13 weeks; 7.42% 26 weeks.","O-T X-##RE X-##AS X-##UR X-##Y O-B X-##IL X-##LS O-: O-Results O-of O-the O-Monday O-, O-October O-16 O-, O-1989 O-, O-auction O-of O-short O-- O-term O-U X-. X-S X-. O-government O-bills O-, O-sold O-at O-a O-discount O-from O-face O-value O-in O-units O-of O-$ O-10 X-, X-000 O-to O-$ O-1 O-million O-: B-dependent-7 X-. X-37 B-head-% O-13 O-weeks O-; O-7 X-. X-42 O-% O-26 O-weeks O-."
