Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of B-CD-225 O-stocks O-jumped B-CD-52 X-##7 X-. X-39 O-points O-to O-close O-at B-CD-34 X-##9 X-##9 X-##6 X-. X-08 O-.
The $1.4 billion robot spacecraft's exploratory mission is to take six years.,O-The O-$ B-CD-1 X-. X-4 B-CD-billion O-robot O-spacecraft O-' X-s O-ex X-##p X-##lora X-##tory O-mission O-is O-to O-take B-CD-six O-years O-.
"The Census Bureau reported that 13.1% of the U.S. population, or 31.9 million people, were living in poverty in 1988.","O-The O-Census O-Bureau O-reported O-that B-CD-13 X-. X-1 O-% O-of O-the O-U X-. X-S X-. O-population O-, O-or B-CD-31 X-. X-9 B-CD-million O-people O-, O-were O-living O-in O-poverty O-in B-CD-1988 O-."
Last year's figure was down from 13.4% in 1987 and marked the fifth consecutive annual decline in the poverty rate.,O-Last O-year O-' X-s O-figure O-was O-down O-from B-CD-13 X-. X-4 O-% O-in B-CD-1987 O-and O-marked O-the O-fifth O-consecutive O-annual O-decline O-in O-the O-poverty O-rate O-.
"Per capita income rose 1.7% to $13,120, but median family income fell 0.2%.","O-Per O-capita O-income O-rose B-CD-1 X-. X-7 O-% O-to O-$ B-CD-13 X-, X-120 O-, O-but O-median O-family O-income O-fell B-CD-0 X-. X-2 O-% O-."
Cuba was elected to the U.N. Security Council for the first time since its Castro-led revolution 30 years ago.,O-Cuba O-was O-elected O-to O-the O-U X-. X-N O-. O-Security O-Council O-for O-the O-first O-time O-since O-its O-Castro X-- X-led O-revolution B-CD-30 O-years O-ago O-.
"Most of the country's 20,000 judges and judicial employees joined the work stoppage.","O-Most O-of O-the O-country O-' X-s B-CD-20 X-, X-000 O-judges O-and O-judicial O-employees O-joined O-the O-work O-stop X-##page O-."
"But whether he single-handedly sparked the crash or had nothing to do with it, one thing is clear in the aftermath of the price slide: Sam Skinner, by his repeated jawboning on the buy-out issue, has irritated some in the Bush administration, so much so that some White House officials want to rein him in.","O-But O-whether O-he O-single X-- X-handed X-##ly O-sparked O-the O-crash O-or O-had O-nothing O-to O-do O-with O-it O-, B-CD-one O-thing O-is O-clear O-in O-the O-aftermath O-of O-the O-price O-slide O-: O-Sam O-Skinner O-, O-by O-his O-repeated O-jaw X-##bon X-##ing O-on O-the O-buy X-- X-out O-issue O-, O-has O-irritated O-some O-in O-the O-Bush O-administration O-, O-so O-much O-so O-that O-some O-White O-House O-officials O-want O-to O-re X-##in O-him O-in O-."
The buy-out issue is politically and financially complex because of two separate but intertwining questions -- foreign ownership and debt levels.,O-The O-buy X-- X-out O-issue O-is O-politically O-and O-financially O-complex O-because O-of B-CD-two O-separate O-but O-inter X-##t X-##win X-##ing O-questions O-- X-- O-foreign O-ownership O-and O-debt O-levels O-.
"Foreign companies are barred by law from holding more than 25% voting stock, or exerting actual control, over U.S. airlines.","O-Foreign O-companies O-are O-barred O-by O-law O-from O-holding O-more O-than B-CD-25 O-% O-voting O-stock O-, O-or O-ex X-##ert X-##ing O-actual O-control O-, O-over O-U X-. X-S X-. O-airlines O-."
"Under the original Northwest Airlines bid, KLM would have contributed 57% of the equity but received only 5% of the voting stock.","O-Under O-the O-original O-Northwest O-Airlines O-bid O-, O-K X-##LM O-would O-have O-contributed B-CD-57 O-% O-of O-the O-equity O-but O-received O-only B-CD-5 O-% O-of O-the O-voting O-stock O-."
NATIONAL INCOME REALTY TRUST said it will resume dividend payments with a 12-cent-a-share dividend to be paid Nov. 6 to shares of record Oct. 25.,O-N X-##AT X-##ION X-##AL O-IN X-##CO X-##ME O-R X-##EA X-##LT X-##Y O-T X-##R X-##US X-##T O-said O-it O-will O-resume O-divide X-##nd O-payments O-with O-a O-12 X-- X-cent X-- X-a X-- X-share O-divide X-##nd O-to O-be O-paid O-Nov X-. B-CD-6 O-to O-shares O-of O-record O-Oct X-. B-CD-25 O-.
"The mortgage and equity real estate investment trust last paid a dividend on Aug. 1, 1988, when holders received 75 cents a share.","O-The O-mortgage O-and O-equity O-real O-estate O-investment O-trust O-last O-paid O-a O-divide X-##nd O-on O-Aug X-. B-CD-1 O-, B-CD-1988 O-, O-when O-holders O-received B-CD-75 O-cents O-a O-share O-."
"One major NBC affiliate, KCRA in Sacramento, plans to cancel the NBC Saturday morning line-up as of January and replace it with a local newscast.","B-CD-One O-major O-NBC O-affiliate O-, O-KC X-##RA O-in O-Sacramento O-, O-plans O-to O-cancel O-the O-NBC O-Saturday O-morning O-line X-- X-up O-as O-of O-January O-and O-replace O-it O-with O-a O-local O-newscast O-."
"They only accounted for 5%, at best, of the station's total revenues.""","O-They O-only O-accounted O-for B-CD-5 O-% O-, O-at O-best O-, O-of O-the O-station O-' X-s O-total O-revenues O-. O-"""
"Animated shows, which are made by outside production companies, cost the network about $300,000 per episode.","O-Animated O-shows O-, O-which O-are O-made O-by O-outside O-production O-companies O-, O-cost O-the O-network O-about O-$ B-CD-300 X-, X-000 O-per O-episode O-."
"Five countries announced they would not honor what one Zimbabwean delegate wryly called the ""made in Switzerland"" solution.","B-CD-Five O-countries O-announced O-they O-would O-not O-honor O-what B-CD-one O-Zimbabwe X-##an O-delegate O-w X-##ryl X-##y O-called O-the O-"" O-made O-in O-Switzerland O-"" O-solution O-."
"The FHA now holds a 50% share of the mortgage insurance market, while mismanagement prevails throughout the agency.","O-The O-F X-##HA O-now O-holds O-a B-CD-50 O-% O-share O-of O-the O-mortgage O-insurance O-market O-, O-while O-mi X-##sman X-##age X-##ment O-pre X-##va X-##ils O-throughout O-the O-agency O-."
The General Accounting Office has just completed an FHA financial audit showing a loss of $4.2 billion for fiscal 1988.,O-The O-General O-Accounting O-Office O-has O-just O-completed O-an O-F X-##HA O-financial O-audit O-showing O-a O-loss O-of O-$ B-CD-4 X-. X-2 B-CD-billion O-for O-fiscal B-CD-1988 O-.
"The National Affordable Housing Act (Cranston-D'Amato), introduced earlier this year, erases the current mortgage guarantee ceiling of $101,250 and places a ""floating cap"" at 95% of the median home price in higher-cost areas.","O-The O-National O-A X-##ff X-##ord X-##able O-Housing O-Act O-( O-C X-##ran X-##ston X-- X-D X-' X-Am X-##ato O-) O-, O-introduced O-earlier O-this O-year O-, O-erase X-##s O-the O-current O-mortgage O-guarantee O-ceiling O-of O-$ B-CD-101 X-, X-250 O-and O-places O-a O-"" O-floating O-cap O-"" O-at B-CD-95 O-% O-of O-the O-median O-home O-price O-in O-higher X-- X-cost O-areas O-."
"Recently, a Senate Appropriations bill similarly removed the current FHA mortgage guarantee ceiling and increased it to 95% of the median home price in higher-cost areas.","O-Recently O-, O-a O-Senate O-A X-##pp X-##ropriations O-bill O-similarly O-removed O-the O-current O-F X-##HA O-mortgage O-guarantee O-ceiling O-and O-increased O-it O-to B-CD-95 O-% O-of O-the O-median O-home O-price O-in O-higher X-- X-cost O-areas O-."
"This provision would have nearly doubled FHA loan exposure in skyrocketing markets where median home prices can range to $200,000 or more.","O-This O-provision O-would O-have O-nearly O-doubled O-F X-##HA O-loan O-exposure O-in O-sky X-##rock X-##eting O-markets O-where O-median O-home O-prices O-can O-range O-to O-$ B-CD-200 X-, X-000 O-or O-more O-."
"After several hours of floor debate and three roll-call votes, we reached a compromise, placing the FHA loan-guarantee ceiling at $124,875.","O-After O-several O-hours O-of O-floor O-debate O-and B-CD-three O-roll X-- X-call O-votes O-, O-we O-reached O-a O-compromise O-, O-placing O-the O-F X-##HA O-loan X-- X-guarantee O-ceiling O-at O-$ B-CD-124 X-, X-87 X-##5 O-."
"Although my desire to retain the present ceiling was exceeded by $23,625, a firm limit on loan guarantees did provide some consolation in the face of allowing a haphazard floating cap to remain in the bill.","O-Although O-my O-desire O-to O-retain O-the O-present O-ceiling O-was O-exceeded O-by O-$ B-CD-23 X-, X-625 O-, O-a O-firm O-limit O-on O-loan O-guarantees O-did O-provide O-some O-con X-##solation O-in O-the O-face O-of O-allowing O-a O-ha X-##pha X-##zard O-floating O-cap O-to O-remain O-in O-the O-bill O-."
"But people who can afford payments on a $200,000 home should be expected to put more money down.","O-But O-people O-who O-can O-afford O-payments O-on O-a O-$ B-CD-200 X-, X-000 O-home O-should O-be O-expected O-to O-put O-more O-money O-down O-."
"It would be difficult to explain to average American workers that their tax dollars were being used to guarantee mortgages on $200,000 homes.","O-It O-would O-be O-difficult O-to O-explain O-to O-average O-American O-workers O-that O-their O-tax O-dollars O-were O-being O-used O-to O-guarantee O-mortgage X-##s O-on O-$ B-CD-200 X-, X-000 O-homes O-."
"When Congress increased federal deposit insurance to $100,000 from $40,000, it seemed like a good idea.","O-When O-Congress O-increased O-federal O-deposit O-insurance O-to O-$ B-CD-100 X-, X-000 O-from O-$ B-CD-40 X-, X-000 O-, O-it O-seemed O-like O-a O-good O-idea O-."
But postponing problems soon gave way to a nightmarish taxpayer bailout to the tune of over $200 billion.,O-But O-post X-##po X-##ning O-problems O-soon O-gave O-way O-to O-a O-night X-##mar X-##ish O-tax X-##pa X-##yer O-bail X-##out O-to O-the O-tune O-of O-over O-$ B-CD-200 B-CD-billion O-.
"(See related story: ""The Home Builders' Wish-List"" -- WSJ Oct. 17, 1989)","O-( O-See O-related O-story O-: O-"" O-The O-Home O-B X-##uild X-##ers X-' O-Wish X-- X-List O-"" O-- X-- O-W X-##S X-##J O-Oct X-. B-CD-17 O-, B-CD-1989 O-)"
Traders nervously watching their Quotron electronic-data machines yesterday morning were stunned to see the Dow Jones Industrial Average plummet 99 points in seconds.,O-Trade X-##rs O-nervously O-watching O-their O-Q X-##uo X-##tron O-electronic X-- X-data O-machines O-yesterday O-morning O-were O-stunned O-to O-see O-the O-Dow O-Jones O-Industrial O-Average O-p X-##lum X-##met B-CD-99 O-points O-in O-seconds O-.
"A minute later it soared 128 points, then zoomed back down 113 points, 69 below Friday's close.","O-A O-minute O-later O-it O-so X-##ared B-CD-128 O-points O-, O-then O-zoo X-##med O-back O-down B-CD-113 O-points O-, B-CD-69 O-below O-Friday O-' X-s O-close O-."
"Quotron Systems Inc., a Citicorp unit, blamed the 30-minute foul-up on ""a timing problem in our software"" caused by the enormous early volume -- about 145 million shares in the first hour of New York Stock Exchange trading.","O-Q X-##uo X-##tron O-Systems O-Inc X-. O-, O-a O-C X-##itic X-##or X-##p O-unit O-, O-blamed O-the O-30 X-- X-minute O-foul X-- X-up O-on O-"" O-a O-timing O-problem O-in O-our O-software O-"" O-caused O-by O-the O-enormous O-early O-volume O-- X-- O-about B-CD-145 B-CD-million O-shares O-in O-the O-first O-hour O-of O-New O-York O-Stock O-Exchange O-trading O-."
"At about 10:40 a.m. on the over-the-counter trading desk at a major brokerage firm, a veteran trader who buys and sells some of the most active stocks looked at a senior official and asked, ""What's going on?","O-At O-about B-CD-10 X-: X-40 O-a X-. X-m X-. O-on O-the O-over X-- X-the X-- X-counter O-trading O-desk O-at O-a O-major O-broker X-##age O-firm O-, O-a O-veteran O-trader O-who O-buys O-and O-sells O-some O-of O-the O-most O-active O-stocks O-looked O-at O-a O-senior O-official O-and O-asked O-, O-"" O-What O-' X-s O-going O-on O-?"
"At the time, Quotron was reporting that the industrial average was down 70 points.","O-At O-the O-time O-, O-Q X-##uo X-##tron O-was O-reporting O-that O-the O-industrial O-average O-was O-down B-CD-70 O-points O-."
"In fact, it was up 24.","O-In O-fact O-, O-it O-was O-up B-CD-24 O-."
"To confuse matters further, when UAL Corp. stock finally opened on the New York Stock Exchange at 11:08 a.m., the price was listed at $324.75 a share, up about $45 from Friday; in fact, its true price was $224.75, down $55.","O-To O-con X-##fuse O-matters O-further O-, O-when O-U X-##AL O-Corp O-. O-stock O-finally O-opened O-on O-the O-New O-York O-Stock O-Exchange O-at B-CD-11 X-: X-08 O-a X-. X-m X-. O-, O-the O-price O-was O-listed O-at O-$ B-CD-32 X-##4 X-. X-75 O-a O-share O-, O-up O-about O-$ B-CD-45 O-from O-Friday O-; O-in O-fact O-, O-its O-true O-price O-was O-$ B-CD-224 X-. X-75 O-, O-down O-$ B-CD-55 O-."
"When the market opened at 9:30 a.m. EST, a reporter for the Reuters newswire miscalculated the industrial average's drop as a 4% decline when it really was down 0.7%.","O-When O-the O-market O-opened O-at B-CD-9 X-: X-30 O-a X-. X-m O-. O-E X-##ST O-, O-a O-reporter O-for O-the O-Re X-##uters O-news X-##wire O-mi X-##sca X-##l X-##culate X-##d O-the O-industrial O-average O-' X-s O-drop O-as O-a B-CD-4 O-% O-decline O-when O-it O-really O-was O-down B-CD-0 X-. X-7 O-% O-."
"At the start of trading last Wednesday, the average appeared to plunge more than 200 points.","O-At O-the O-start O-of O-trading O-last O-Wednesday O-, O-the O-average O-appeared O-to O-p X-##lung X-##e O-more O-than B-CD-200 O-points O-."
"Quotron said that snafu, which lasted nine minutes, resulted from a failure to adjust for a 4-for-1 stock split at Philip Morris Cos.","O-Q X-##uo X-##tron O-said O-that O-s X-##na X-##fu O-, O-which O-lasted B-CD-nine O-minutes O-, O-resulted O-from O-a O-failure O-to O-adjust O-for O-a B-CD-4 X-- X-for X-- X-1 O-stock O-split O-at O-Philip O-Morris O-Co X-##s O-."
The new Financial Accounting Standards Board (FASB) was created in 1972 to replace the Accounting Principles Board of the American Institute of Certified Public Accountants.,O-The O-new O-Financial O-Accounting O-Standards O-Board O-( O-FA X-##SB O-) O-was O-created O-in B-CD-1972 O-to O-replace O-the O-Accounting O-Principles O-Board O-of O-the O-American O-Institute O-of O-Certified O-Public O-A X-##cco X-##unta X-##nts O-.
"The new board's seven-member structure kept four CPAs, but the others were from industry and academia.","O-The O-new O-board O-' X-s O-seven X-- X-member O-structure O-kept B-CD-four O-CP X-##As O-, O-but O-the O-others O-were O-from O-industry O-and O-a X-##cademia O-."
"Francis M. Wheat, a former Securities and Exchange Commission member, headed the panel that had studied the issues for a year and proposed the FASB on March 30, 1972.","O-Francis O-M X-. O-W X-##heat O-, O-a O-former O-Securities O-and O-Exchange O-Commission O-member O-, O-headed O-the O-panel O-that O-had O-studied O-the O-issues O-for O-a O-year O-and O-proposed O-the O-FA X-##SB O-on O-March B-CD-30 O-, B-CD-1972 O-."
"The former board had produced ""21 opinions and 1,000 critics"" in its 12-year life, its chairman had conceded.","O-The O-former O-board O-had O-produced O-"" B-CD-21 O-opinions O-and B-CD-1 X-, X-000 O-critics O-"" O-in O-its O-12 X-- X-year O-life O-, O-its O-chairman O-had O-conceded O-."
And in November 1970 Congress had passed a special act to overrule one board rule.,O-And O-in O-November B-CD-1970 O-Congress O-had O-passed O-a O-special O-act O-to O-over X-##ru X-##le B-CD-one O-board O-rule O-.
"Also, James Needham, an SEC commissioner, in April 1972 had warned that the industry might face a ""federal agency writing accounting rules"" if they rejected the FASB idea.","O-Also O-, O-James O-Need X-##ham O-, O-an O-SEC O-commissioner O-, O-in O-April B-CD-1972 O-had O-warned O-that O-the O-industry O-might O-face O-a O-"" O-federal O-agency O-writing O-accounting O-rules O-"" O-if O-they O-rejected O-the O-FA X-##SB O-idea O-."
"The FASB had its initial meeting on March 28, 1973.","O-The O-FA X-##SB O-had O-its O-initial O-meeting O-on O-March B-CD-28 O-, B-CD-1973 O-."
"On Dec. 13, 1973, it issued its first rule; it required companies to disclose foreign currency translations in U.S. dollars.","O-On O-Dec X-. B-CD-13 O-, B-CD-1973 O-, O-it O-issued O-its O-first O-rule O-; O-it O-required O-companies O-to O-disc X-##lose O-foreign O-currency O-translations O-in O-U X-. X-S X-. O-dollars O-."
"The FASB since then has issued 102 rules, and some still rile industry.","O-The O-FA X-##SB O-since O-then O-has O-issued B-CD-102 O-rules O-, O-and O-some O-still O-r X-##ile O-industry O-."
"Since late 1987, for example, it has put off a rule dealing with deferred income taxes because of the continuing controversy over the issue.","O-Since O-late B-CD-1987 O-, O-for O-example O-, O-it O-has O-put O-off O-a O-rule O-dealing O-with O-def X-##er X-##red O-income O-taxes O-because O-of O-the O-continuing O-controversy O-over O-the O-issue O-."
Olin Corp. said third-quarter net income rose 26% on the strength of its chemical business.,O-O X-##lin O-Corp O-. O-said O-third X-- X-quarter O-net O-income O-rose B-CD-26 O-% O-on O-the O-strength O-of O-its O-chemical O-business O-.
"Net was $24 million, or $1.15 a share, up from $19 million, or 90 cents a share, a year earlier.","O-Net O-was O-$ B-CD-24 B-CD-million O-, O-or O-$ B-CD-1 X-. X-15 O-a O-share O-, O-up O-from O-$ B-CD-19 B-CD-million O-, O-or B-CD-90 O-cents O-a O-share O-, O-a O-year O-earlier O-."
Sales rose 7.4% to $580 million from $540 million.,O-Sales O-rose B-CD-7 X-. X-4 O-% O-to O-$ B-CD-580 B-CD-million O-from O-$ B-CD-540 B-CD-million O-.
"Olin said its chemical segment had profit of $22 million, up from $15 million a year ago, largely because of gains in electrochemicals such as caustic soda.","O-O X-##lin O-said O-its O-chemical O-segment O-had O-profit O-of O-$ B-CD-22 B-CD-million O-, O-up O-from O-$ B-CD-15 B-CD-million O-a O-year O-ago O-, O-largely O-because O-of O-gains O-in O-electro X-##chemical X-##s O-such O-as O-ca X-##ustic O-soda O-."
"The chemical segment had a $6 million gain on the sale of ammonia and urea businesses, which was offset by a $6 million charge for future environmental expenditures.","O-The O-chemical O-segment O-had O-a O-$ B-CD-6 B-CD-million O-gain O-on O-the O-sale O-of O-am X-##monia O-and O-u X-##rea O-businesses O-, O-which O-was O-offset O-by O-a O-$ B-CD-6 B-CD-million O-charge O-for O-future O-environmental O-expenditure X-##s O-."
Profit in Olin's defense and ammunition segment rose to $8 million from $7 million.,O-Prof X-##it O-in O-O X-##lin O-' X-s O-defense O-and O-ammunition O-segment O-rose O-to O-$ B-CD-8 B-CD-million O-from O-$ B-CD-7 B-CD-million O-.
"The metals segment, hurt by a strike, had break-even results, against $3 million a year ago.","O-The O-metals O-segment O-, O-hurt O-by O-a O-strike O-, O-had O-break X-- X-even O-results O-, O-against O-$ B-CD-3 B-CD-million O-a O-year O-ago O-."
"In the first nine months, net rose 21% to $93 million, or $4.52 a share, from $77 million, or $3.62 a share a year ago.","O-In O-the O-first B-CD-nine O-months O-, O-net O-rose B-CD-21 O-% O-to O-$ B-CD-93 B-CD-million O-, O-or O-$ B-CD-4 X-. X-52 O-a O-share O-, O-from O-$ B-CD-77 B-CD-million O-, O-or O-$ B-CD-3 X-. X-62 O-a O-share O-a O-year O-ago O-."
Sales rose 13% to $1.91 billion from $1.69 billion.,O-Sales O-rose B-CD-13 O-% O-to O-$ B-CD-1 X-. X-91 B-CD-billion O-from O-$ B-CD-1 X-. X-69 B-CD-billion O-.
"In New York Stock Exchange composite trading, Olin closed at $58.50 a share, down 25 cents.","O-In O-New O-York O-Stock O-Exchange O-composite O-trading O-, O-O X-##lin O-closed O-at O-$ B-CD-58 X-. X-50 O-a O-share O-, O-down B-CD-25 O-cents O-."
"Cross & Trecker, a Bloomfield Hills, Mich., machine-tool maker, said the net sales price of the total transaction is $24 million.","O-Cross O-& O-T X-##reck X-##er O-, O-a O-Bloom X-##field O-Hills O-, O-Mi X-##ch X-. O-, O-machine X-- X-tool O-maker O-, O-said O-the O-net O-sales O-price O-of O-the O-total O-transaction O-is O-$ B-CD-24 B-CD-million O-."
The Wiedemann division was one of three businesses put up for sale in Cross & Trecker's restructuring program announced in July.,O-The O-W X-##ied X-##emann O-division O-was B-CD-one O-of B-CD-three O-businesses O-put O-up O-for O-sale O-in O-Cross O-& O-T X-##reck X-##er O-' X-s O-restructuring O-program O-announced O-in O-July O-.
"The White House budget director, prodding Congress to finish work quickly on 1990 budget bills, is trying to put some sting into the little-feared spending cuts that were triggered yesterday under the Gramm-Rudman deficit-reduction law.","O-The O-White O-House O-budget O-director O-, O-pro X-##dding O-Congress O-to O-finish O-work O-quickly O-on B-CD-1990 O-budget O-bills O-, O-is O-trying O-to O-put O-some O-sting O-into O-the O-little X-- X-feared O-spending O-cuts O-that O-were O-triggered O-yesterday O-under O-the O-Gram X-##m X-- X-R X-##ud X-##man O-deficit X-- X-reduction O-law O-."
The House didn't move quickly enough to meet the Gramm-Rudman deadline for passing legislation to bring the projected fiscal 1990 deficit below the $110 billion target.,O-The O-House O-did O-n X-' X-t O-move O-quickly O-enough O-to O-meet O-the O-Gram X-##m X-- X-R X-##ud X-##man O-deadline O-for O-passing O-legislation O-to O-bring O-the O-projected O-fiscal B-CD-1990 O-deficit O-below O-the O-$ B-CD-110 B-CD-billion O-target O-.
"As the law requires, President Bush yesterday signed an order cutting federal spending across the board by $16.1 billion.","O-As O-the O-law O-requires O-, O-President O-Bush O-yesterday O-signed O-an O-order O-cutting O-federal O-spending O-across O-the O-board O-by O-$ B-CD-16 X-. X-1 B-CD-billion O-."
"When the fiscal year began on Oct. 1, the Office of Management and Budget began withholding 4.3% of the Pentagon's money and 5.3% of other agencies' money, as the Gramm-Rudman law requires.","O-When O-the O-fiscal O-year O-began O-on O-Oct X-. B-CD-1 O-, O-the O-Office O-of O-Management O-and O-Budget O-began O-with X-##holding B-CD-4 X-. X-3 O-% O-of O-the O-Pentagon O-' X-s O-money O-and B-CD-5 X-. X-3 O-% O-of O-other O-agencies X-' O-money O-, O-as O-the O-Gram X-##m X-- X-R X-##ud X-##man O-law O-requires O-."
"Under a special provision of the law, the government yesterday began slicing 2% from Medicare payments made to doctors and hospitals.","O-Under O-a O-special O-provision O-of O-the O-law O-, O-the O-government O-yesterday O-began O-s X-##licing B-CD-2 O-% O-from O-Me X-##dic X-##are O-payments O-made O-to O-doctors O-and O-hospitals O-."
"Taking a tough bargaining position, Mr. Darman said he opposes restoring the funds when Congress finally wraps up its work on 1990 spending.","O-Taking O-a O-tough O-bargaining O-position O-, O-Mr X-. O-Dar X-##man O-said O-he O-oppose X-##s O-restoring O-the O-funds O-when O-Congress O-finally O-wraps O-up O-its O-work O-on B-CD-1990 O-spending O-."
"Mr. Darman said the new approach will give agencies ""less ability to shift from one area to another .","O-Mr X-. O-Dar X-##man O-said O-the O-new O-approach O-will O-give O-agencies O-"" O-less O-ability O-to O-shift O-from B-CD-one O-area O-to O-another O-."
"Mr. Darman also said yesterday that although the administration isn't any longer pushing to include a cut in capital-gains taxes as part of the 1990 budget legislation, the odds are 8-to-5 in favor of winning approval for capital gains taxes this year.","O-Mr X-. O-Dar X-##man O-also O-said O-yesterday O-that O-although O-the O-administration O-is O-n X-' X-t O-any O-longer O-pushing O-to O-include O-a O-cut O-in O-capital X-- X-gains O-taxes O-as O-part O-of O-the B-CD-1990 O-budget O-legislation O-, O-the O-odds O-are B-CD-8 X-- X-to X-- X-5 O-in O-favor O-of O-winning O-approval O-for O-capital O-gains O-taxes O-this O-year O-."
"SHEARSON LEHMAN HUTTON Inc. Thomas E. Meador, 42 years old, was named president and chief operating officer of Balcor Co., a Skokie, Ill., subsidiary of this New York investment banking firm.","O-SH X-##EA X-##RS X-##ON O-L X-##E X-##H X-##MA X-##N O-H X-##UT X-##TO X-##N O-Inc O-. O-Thomas O-E X-. O-Mead X-##or O-, B-CD-42 O-years O-old O-, O-was O-named O-president O-and O-chief O-operating O-officer O-of O-Ba X-##l X-##cor O-Co X-. O-, O-a O-S X-##ko X-##kie O-, O-Il X-##l X-. O-, O-subsidiary O-of O-this O-New O-York O-investment O-banking O-firm O-."
"Those duties had been held by Van Pell, 44, who resigned as an executive vice president.","O-Those O-duties O-had O-been O-held O-by O-Van O-P X-##ell O-, B-CD-44 O-, O-who O-resigned O-as O-an O-executive O-vice O-president O-."
Shearson is about 60%-held by American Express Co.,O-Shea X-##rson O-is O-about B-CD-60 O-% X-- O-held O-by O-American O-Express O-Co O-.
"Houston-based Maryland Club Foods, which had sales of about $200 million last year, sells coffee under the Maryland Club and Butter-Nut brands to restaurants, hotels, offices and airlines.","O-Houston X-- X-based O-Maryland O-Club O-Foods O-, O-which O-had O-sales O-of O-about O-$ B-CD-200 B-CD-million O-last O-year O-, O-sells O-coffee O-under O-the O-Maryland O-Club O-and O-But X-##ter X-- X-N X-##ut O-brands O-to O-restaurants O-, O-hotels O-, O-offices O-and O-airlines O-."
"Christie's and Sotheby's, the two major New York houses, are about to offer a large number of impressionist and modern paintings at estimates unheard of even five years ago.","O-Christie O-' X-s O-and O-So X-##the X-##by O-' X-s O-, O-the B-CD-two O-major O-New O-York O-houses O-, O-are O-about O-to O-offer O-a O-large O-number O-of O-impression X-##ist O-and O-modern O-paintings O-at O-estimates O-un X-##hea X-##rd O-of O-even B-CD-five O-years O-ago O-."
More than $600 million of impressionist and modern paintings are about to hit the New York auction block -- far outstripping May's four-day $400 million bonanza.,O-More O-than O-$ B-CD-600 B-CD-million O-of O-impression X-##ist O-and O-modern O-paintings O-are O-about O-to O-hit O-the O-New O-York O-auction O-block O-- X-- O-far O-outs X-##tri X-##pping O-May O-' X-s O-four X-- X-day O-$ B-CD-400 B-CD-million O-b X-##ona X-##nza O-.
"This season Lorinda de Roulet (sister of John Whitney Payson, for whom ""Irises"" by Vincent van Gogh was sold for $53.9 million in November of 1987, to the Australian Alan Bond, who still hasn't taken possession because he hasn't yet paid off the loan Sotheby's offered him at the sale) has consigned another biggie to Sotheby's.","O-This O-season O-Lori X-##nda O-de O-R X-##ou X-##let O-( O-sister O-of O-John O-Whitney O-Pay X-##son O-, O-for O-whom O-"" O-Iris X-##es O-"" O-by O-Vincent O-van O-Go X-##gh O-was O-sold O-for O-$ B-CD-53 X-. X-9 B-CD-million O-in O-November O-of B-CD-1987 O-, O-to O-the O-Australian O-Alan O-Bond O-, O-who O-still O-has O-n X-' X-t O-taken O-possession O-because O-he O-has O-n X-' X-t O-yet O-paid O-off O-the O-loan O-So X-##the X-##by O-' X-s O-offered O-him O-at O-the O-sale O-) O-has O-con X-##signed O-another O-big X-##gie O-to O-So X-##the X-##by O-' X-s O-."
"""Au Lapin Agile"" is a 1905 Rose Period Picasso being billed as ""the most important 20th-century picture ever to come up for auction.""","O-"" O-Au O-La X-##pin O-A X-##gi X-##le O-"" O-is O-a B-CD-1905 O-Rose O-Period O-Picasso O-being O-billed O-as O-"" O-the O-most O-important O-20th X-- X-century O-picture O-ever O-to O-come O-up O-for O-auction O-. O-"""
"It may sell for more than any previous Picasso -- the record is $47.85 million set in May for ""Self Portrait: Yo Picasso.""","O-It O-may O-sell O-for O-more O-than O-any O-previous O-Picasso O-- X-- O-the O-record O-is O-$ B-CD-47 X-. X-85 B-CD-million O-set O-in O-May O-for O-"" O-Self O-Portrait O-: O-Yo O-Picasso O-. O-"""
"Sotheby's also weighs in with the John T. Dorrance Jr. collection of impressionists at an estimated $100 million-plus (to be offered tomorrow) and a juicy assortment of paintings from other sources, more than 35 of which are expected to sell in November for at least $1 million each.","O-So X-##the X-##by O-' X-s O-also O-weighs O-in O-with O-the O-John O-T X-. O-Do X-##rra X-##nce O-Jr X-. O-collection O-of O-impression X-##ists O-at O-an O-estimated O-$ B-CD-100 B-CD-million X-- X-plus O-( O-to O-be O-offered O-tomorrow O-) O-and O-a O-j X-##ui X-##cy O-ass X-##ort X-##ment O-of O-paintings O-from O-other O-sources O-, O-more O-than B-CD-35 O-of O-which O-are O-expected O-to O-sell O-in O-November O-for O-at O-least O-$ B-CD-1 B-CD-million O-each O-."
