"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"A year earlier, Flowers had fiscal first-quarter net income of $8 million, or 23 cents a share, on revenue of $170.4 million.","O-A O-year O-earlier O-, O-Flowers O-had O-fiscal O-first X-- X-quarter O-net O-income O-of B-$-$ O-8 O-million O-, O-or O-23 O-cents O-a O-share O-, O-on O-revenue O-of B-$-$ O-170 X-. X-4 O-million O-."
"In August, business inventories totaled $789.87 billion, while sales grew to $526.79 billion, the department said.","O-In O-August O-, O-business O-inventor X-##ies O-totaled B-$-$ O-78 X-##9 X-. X-87 O-billion O-, O-while O-sales O-grew O-to B-$-$ O-52 X-##6 X-. X-79 O-billion O-, O-the O-department O-said O-."
"IRS Commissioner Fred T. Goldberg said the changes are intended to bring ""accountability"" to the agency, which has an annual budget of more than $5 billion and collects about $1 trillion a year.","O-I X-##RS O-Commissioner O-Fred O-T X-. O-Goldberg O-said O-the O-changes O-are O-intended O-to O-bring O-"" O-account X-##ability O-"" O-to O-the O-agency O-, O-which O-has O-an O-annual O-budget O-of O-more O-than B-$-$ O-5 O-billion O-and O-collects O-about B-$-$ O-1 O-trillion O-a O-year O-."
"""And we don't have internal controls and discipline that we need to have to spend $5 billion properly.""","O-"" O-And O-we O-do O-n X-' X-t O-have O-internal O-controls O-and O-discipline O-that O-we O-need O-to O-have O-to O-spend B-$-$ O-5 O-billion O-properly O-. O-"""
"And the agency, which operated throughout fiscal 1989 with a $360 million budget shortfall, has been under a hiring freeze since last fall.","O-And O-the O-agency O-, O-which O-operated O-throughout O-fiscal O-1989 O-with O-a B-$-$ O-360 O-million O-budget O-short X-##fall O-, O-has O-been O-under O-a O-hiring O-freeze O-since O-last O-fall O-."
"Although the jobs will probably pay between $70,000 and $80,000 a year, IRS officials are confident that they can attract top-notch candidates from the private sector.","O-Although O-the O-jobs O-will O-probably O-pay O-between B-$-$ O-70 X-, X-000 O-and B-$-$ O-80 X-, X-000 O-a O-year O-, O-I X-##RS O-officials O-are O-confident O-that O-they O-can O-attract O-top X-- X-notch O-candidates O-from O-the O-private O-sector O-."
"""On the comptroller side, you're developing and making work financial controls governing a $6 billion budget.""","O-"" O-On O-the O-com X-##pt X-##roll X-##er O-side O-, O-you O-' X-re O-developing O-and O-making O-work O-financial O-controls O-governing O-a B-$-$ O-6 O-billion O-budget O-. O-"""
The round-trip fare to Havana is 410 Irish punts ($578).,O-The O-round X-- X-trip O-fare O-to O-Havana O-is O-410 O-Irish O-punt X-##s B-$-( X-$ O-57 X-##8 O-) O-.
"An editorial in the NCI Journal says the report of declining lung-cancer mortality ""among young men and women in the U.S. indicates that we finally may be winning the battle -- this even in a country where the tobacco industry spends over $2 billion a year for promotion of the addictive habit of smoking.""","O-An O-editorial O-in O-the O-NC X-##I O-Journal O-says O-the O-report O-of O-declining O-lung X-- X-cancer O-mortality O-"" O-among O-young O-men O-and O-women O-in O-the O-U X-. X-S X-. O-indicates O-that O-we O-finally O-may O-be O-winning O-the O-battle O-- X-- O-this O-even O-in O-a O-country O-where O-the O-tobacco O-industry O-spends O-over B-$-$ O-2 O-billion O-a O-year O-for O-promotion O-of O-the O-add X-##ict X-##ive O-habit O-of O-smoking O-. O-"""
"Before the 1987 crash, an estimated $60 billion in institutional money was managed under this hedging technique.","O-Before O-the O-1987 O-crash O-, O-an O-estimated B-$-$ O-60 O-billion O-in O-institutional O-money O-was O-managed O-under O-this O-he X-##dging O-technique O-."
"Valued as a buy-out target, the airline stock was trading at nearly $280 a share.","O-Value X-##d O-as O-a O-buy X-- X-out O-target O-, O-the O-airline O-stock O-was O-trading O-at O-nearly B-$-$ O-280 O-a O-share O-."
"When the deal ran into trouble, the stock tumbled; it closed at $198 yesterday.","O-When O-the O-deal O-ran O-into O-trouble O-, O-the O-stock O-tumbled O-; O-it O-closed O-at B-$-$ O-198 O-yesterday O-."
"PepsiCo Inc. 's chairman said he is ""more than comfortable with"" analysts' estimates that third-quarter earnings rose to at least 98 cents to $1 a share from 91 cents the year earlier.","O-P X-##ep X-##si X-##C X-##o O-Inc O-. O-' O-s O-chairman O-said O-he O-is O-"" O-more O-than O-comfortable O-with O-"" O-analysts X-' O-estimates O-that O-third X-- X-quarter O-earnings O-rose O-to O-at O-least O-98 O-cents O-to B-$-$ O-1 O-a O-share O-from O-91 O-cents O-the O-year O-earlier O-."
"So far, analysts have said they are looking for $3.30 to $3.35 a share.","O-So O-far O-, O-analysts O-have O-said O-they O-are O-looking O-for B-$-$ O-3 X-. X-30 O-to B-$-$ O-3 X-. X-35 O-a O-share O-."
"After today's announcement, that range could increase to $3.35 to $3.40 a share.","O-After O-today O-' X-s O-announcement O-, O-that O-range O-could O-increase O-to B-$-$ O-3 X-. X-35 O-to B-$-$ O-3 X-. X-40 O-a O-share O-."
"In 1988, the soft-drink giant earned $2.90 a share.","O-In O-1988 O-, O-the O-soft X-- X-drink O-giant O-earned B-$-$ O-2 X-. X-90 O-a O-share O-."
"In composite trading on the New York Stock Exchange, the company closed yesterday at $57.125 a share, up $3.125.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-the O-company O-closed O-yesterday O-at B-$-$ O-57 X-. X-125 O-a O-share O-, O-up B-$-$ O-3 X-. X-125 O-."
The company said third-quarter sales are expected to increase 25% from $3.12 billion of last year's third quarter.,O-The O-company O-said O-third X-- X-quarter O-sales O-are O-expected O-to O-increase O-25 O-% O-from B-$-$ O-3 X-. X-12 O-billion O-of O-last O-year O-' X-s O-third O-quarter O-.
"After a four-year, $7.7 billion acquisition binge that brought a major soft-drink company, soda bottlers, a fast-food chain and an overseas snack-food giant to Pepsi, Mr. Calloway said he doesn't expect any major acquisition in the next year or so.","O-After O-a O-four X-- X-year O-, B-$-$ O-7 X-. X-7 O-billion O-acquisition O-bin X-##ge O-that O-brought O-a O-major O-soft X-- X-drink O-company O-, O-soda O-bottle X-##rs O-, O-a O-fast X-- X-food O-chain O-and O-an O-overseas O-snack X-- X-food O-giant O-to O-P X-##ep X-##si O-, O-Mr X-. O-Call X-##owa X-##y O-said O-he O-does O-n X-' X-t O-expect O-any O-major O-acquisition O-in O-the O-next O-year O-or O-so O-."
"Mr. Hollander's High Technology Holding Co. of Stamford, Conn., acquired most of its stake last August in an $11-a-share tender offer for Newport, a maker of electronic-measuring devices.","O-Mr X-. O-Holland X-##er O-' X-s O-High O-Technology O-Holding O-Co X-. O-of O-Stamford O-, O-Con X-##n X-. O-, O-acquired O-most O-of O-its O-stake O-last O-August O-in O-an B-$-$ O-11 X-- X-a X-- X-share O-tender O-offer O-for O-Newport O-, O-a O-maker O-of O-electronic X-- X-measuring O-devices O-."
"Weyerhaeuser Co. reported a one-time gain and strong wood-product sales that offset weakness in pulp and paper to fuel a 15% jump in third-quarter net income to $166.8 million, or 78 cents a share.","O-We X-##yer X-##ha X-##eus X-##er O-Co X-. O-reported O-a O-one X-- X-time O-gain O-and O-strong O-wood X-- X-product O-sales O-that O-offset O-weakness O-in O-pulp O-and O-paper O-to O-fuel O-a O-15 O-% O-jump O-in O-third X-- X-quarter O-net O-income O-to B-$-$ O-166 X-. X-8 O-million O-, O-or O-78 O-cents O-a O-share O-."
"In the 1988 third quarter, the forest-products company reported profit of $144.9 million, or 69 cents a share.","O-In O-the O-1988 O-third O-quarter O-, O-the O-forest X-- X-products O-company O-reported O-profit O-of B-$-$ O-144 X-. X-9 O-million O-, O-or O-69 O-cents O-a O-share O-."
Sales rose 9% to $2.57 billion from $2.36 billion.,O-Sales O-rose O-9 O-% O-to B-$-$ O-2 X-. X-57 O-billion O-from B-$-$ O-2 X-. X-36 O-billion O-.
"For the nine months, the company posted a 14% rise in profit to $469.8 million, or $2.21 a share, from $410.3 million, or $1.95 a share.","O-For O-the O-nine O-months O-, O-the O-company O-posted O-a O-14 O-% O-rise O-in O-profit O-to B-$-$ O-46 X-##9 X-. X-8 O-million O-, O-or B-$-$ O-2 X-. X-21 O-a O-share O-, O-from B-$-$ O-410 X-. X-3 O-million O-, O-or B-$-$ O-1 X-. X-95 O-a O-share O-."
Sales rose 9% to $7.54 billion from $6.95 billion.,O-Sales O-rose O-9 O-% O-to B-$-$ O-7 X-. X-54 O-billion O-from B-$-$ O-6 X-. X-95 O-billion O-.
"Results for the 1989 third quarter and nine months include a pretax loss of $33 million from the company's business improvement and refocusing program, and a gain of $49 million on the sale of a subsidiary's common stock.","O-Results O-for O-the O-1989 O-third O-quarter O-and O-nine O-months O-include O-a O-pre X-##ta X-##x O-loss O-of B-$-$ O-33 O-million O-from O-the O-company O-' X-s O-business O-improvement O-and O-re X-##fo X-##cus X-##ing O-program O-, O-and O-a O-gain O-of B-$-$ O-49 O-million O-on O-the O-sale O-of O-a O-subsidiary O-' X-s O-common O-stock O-."
"The Redmond, Wash. company, a bellwether provider of operating systems and software for personal-computer makers and users, reported net income for the quarter ended Sept. 30 of $49.6 million, or 87 cents a share, up from $36.6 million, or 65 cents a share, in the year-ago period.","O-The O-Red X-##mond O-, O-Was X-##h O-. O-company O-, O-a O-bell X-##we X-##ther O-provider O-of O-operating O-systems O-and O-software O-for O-personal X-- X-computer O-makers O-and O-users O-, O-reported O-net O-income O-for O-the O-quarter O-ended O-Sept X-. O-30 O-of B-$-$ O-49 X-. X-6 O-million O-, O-or O-87 O-cents O-a O-share O-, O-up O-from B-$-$ O-36 X-. X-6 O-million O-, O-or O-65 O-cents O-a O-share O-, O-in O-the O-year X-- X-ago O-period O-."
"Revenue rose to $235.2 million, from $176.4 million.","O-Revenue O-rose O-to B-$-$ O-235 X-. X-2 O-million O-, O-from B-$-$ O-176 X-. X-4 O-million O-."
"Microsoft previously indicated it would have a strong quarter by forecasting its revenue gain on Oct. 4, causing a $6.50 a share jump in its stock.","O-Microsoft O-previously O-indicated O-it O-would O-have O-a O-strong O-quarter O-by O-forecast X-##ing O-its O-revenue O-gain O-on O-Oct X-. O-4 O-, O-causing O-a B-$-$ O-6 X-. X-50 O-a O-share O-jump O-in O-its O-stock O-."
Microsoft's stock rose $2.875 a share in national over-the-counter trading to $78.625.,O-Microsoft O-' X-s O-stock O-rose B-$-$ O-2 X-. X-87 X-##5 O-a O-share O-in O-national O-over X-- X-the X-- X-counter O-trading O-to B-$-$ O-78 X-. X-625 O-.
The stock had hit a high of $81 a share early last week but collapsed to $73.50 in the Friday stock plunge.,O-The O-stock O-had O-hit O-a O-high O-of B-$-$ O-81 O-a O-share O-early O-last O-week O-but O-collapsed O-to B-$-$ O-73 X-. X-50 O-in O-the O-Friday O-stock O-p X-##lung X-##e O-.
"""The stock market ain't going to do much of anything"" for a while, says John Neff of Wellington Management, who runs the $8.3 billion Windsor Fund.","O-"" O-The O-stock O-market O-a X-##i O-n X-' X-t O-going O-to O-do O-much O-of O-anything O-"" O-for O-a O-while O-, O-says O-John O-N X-##ef X-##f O-of O-Wellington O-Management O-, O-who O-runs O-the B-$-$ O-8 X-. X-3 O-billion O-Windsor O-Fund O-."
"In fact, Kazuo Ishiguro's ""The Remains of the Day"" (Knopf, 245 pages, $18.95) is both an homage to traditional English forms and a dramatic critique of them.","O-In O-fact O-, O-Ka X-##zu X-##o O-Is X-##hi X-##gu X-##ro O-' X-s O-"" O-The O-Re X-##ma X-##ins O-of O-the O-Day O-"" O-( O-K X-##no X-##pf O-, O-245 O-pages O-, B-$-$ O-18 X-. X-95 O-) O-is O-both O-an O-homage O-to O-traditional O-English O-forms O-and O-a O-dramatic O-critique O-of O-them O-."
"Soon the studio is producing a $40 million picture called ""Tet, the Motion Picture,"" to distinguish it from ""Tet, the Offensive,"" as well as ""Tet, the Book"" and ""Tet, the Album.""","O-Soon O-the O-studio O-is O-producing O-a B-$-$ O-40 O-million O-picture O-called O-"" O-Te X-##t O-, O-the O-Motion O-Picture O-, X-"" O-to O-distinguish O-it O-from O-"" O-Te X-##t O-, O-the O-Offensive O-, X-"" O-as O-well O-as O-"" O-Te X-##t O-, O-the O-Book O-"" O-and O-"" O-Te X-##t O-, O-the O-Album O-. O-"""
"The picture, to be made in the Central American country of San Elvador, is a cover for sending $800 million of arms to Los Otros, the rebel group attempting to regain neighboring Ambigua, which has been taken over by the leftist dictator Dr. Overtega, a former podiatrist, who leads a revolutionary band of foot soldiers.","O-The O-picture O-, O-to O-be O-made O-in O-the O-Central O-American O-country O-of O-San O-El X-##va X-##dor O-, O-is O-a O-cover O-for O-sending B-$-$ O-800 O-million O-of O-arms O-to O-Los O-O X-##tro X-##s O-, O-the O-rebel O-group O-attempting O-to O-regain O-neighboring O-Am X-##bi X-##gua O-, O-which O-has O-been O-taken O-over O-by O-the O-left X-##ist O-dictator O-Dr X-. O-Over X-##te X-##ga O-, O-a O-former O-pod X-##ia X-##tri X-##st O-, O-who O-leads O-a O-revolutionary O-band O-of O-foot O-soldiers O-."
"E. Robert Wallach, former personal legal adviser to ex-Attorney General Edwin Meese, was sentenced to six years in prison and fined $250,000 for his role in the Wedtech Corp. scandal.","O-E X-. O-Robert O-Wall X-##ach O-, O-former O-personal O-legal O-adviser O-to O-ex X-- X-Attorney O-General O-Edwin O-Me X-##ese O-, O-was O-sentenced O-to O-six O-years O-in O-prison O-and O-fined B-$-$ O-250 X-, X-000 O-for O-his O-role O-in O-the O-We X-##dt X-##ech O-Corp O-. O-scandal O-."
"The charges involved $425,000 in payments he got from Wedtech in return for promising to use his influence with Mr. Meese and other federal officials on behalf of the now-defunct defense contractor.","O-The O-charges O-involved B-$-$ O-425 X-, X-000 O-in O-payments O-he O-got O-from O-We X-##dt X-##ech O-in O-return O-for O-promising O-to O-use O-his O-influence O-with O-Mr X-. O-Me X-##ese O-and O-other O-federal O-officials O-on O-behalf O-of O-the O-now X-- X-defunct O-defense O-contractor O-."
"At the sentencing in federal court in New York, Judge Owen told Mr. Wallach: ""You sold your federal office and the integrity of your federal office for $300,000 before you even got the office.""","O-At O-the O-sent X-##encing O-in O-federal O-court O-in O-New O-York O-, O-Judge O-Owen O-told O-Mr X-. O-Wall X-##ach O-: O-"" O-You O-sold O-your O-federal O-office O-and O-the O-integrity O-of O-your O-federal O-office O-for B-$-$ O-300 X-, X-000 O-before O-you O-even O-got O-the O-office O-. O-"""
"Mr. Chinn, formerly a financial adviser to Mr. Meese, was sentenced to three years and fined $100,000.","O-Mr X-. O-Chin X-##n O-, O-formerly O-a O-financial O-adviser O-to O-Mr X-. O-Me X-##ese O-, O-was O-sentenced O-to O-three O-years O-and O-fined B-$-$ O-100 X-, X-000 O-."
"Mr. London, who along with Mr. Chinn worked as a financial consultant to Wedtech, was sentenced to five years and fined $250,000.","O-Mr X-. O-London O-, O-who O-along O-with O-Mr X-. O-Chin X-##n O-worked O-as O-a O-financial O-consultant O-to O-We X-##dt X-##ech O-, O-was O-sentenced O-to O-five O-years O-and O-fined B-$-$ O-250 X-, X-000 O-."
"For Mr. Wallach, the amount is $425,000.","O-For O-Mr X-. O-Wall X-##ach O-, O-the O-amount O-is B-$-$ O-425 X-, X-000 O-."
"Mr. London must forfeit $99,000, and Mr. Chinn must forfeit $20,000; together, Mr. Chinn and Mr. London must jointly forfeit an additional $1.14 million.","O-Mr X-. O-London O-must O-for X-##feit B-$-$ O-99 X-, X-000 O-, O-and O-Mr X-. O-Chin X-##n O-must O-for X-##feit B-$-$ O-20 X-, X-000 O-; O-together O-, O-Mr X-. O-Chin X-##n O-and O-Mr X-. O-London O-must O-jointly O-for X-##feit O-an O-additional B-$-$ O-1 X-. X-14 O-million O-."
"According to a corrected pre-sentencing report, Mr. Wallach currently has a negative net worth of $273,000.","O-According O-to O-a O-corrected O-pre X-- X-sent X-##encing O-report O-, O-Mr X-. O-Wall X-##ach O-currently O-has O-a O-negative O-net O-worth O-of B-$-$ O-27 X-##3 X-, X-000 O-."
Mr. Grady added that to fund the type of supervision Judge Edelstein described would cost the union at least $3.5 million.,O-Mr X-. O-Grady O-added O-that O-to O-fund O-the O-type O-of O-supervision O-Judge O-Ed X-##els X-##tein O-described O-would O-cost O-the O-union O-at O-least B-$-$ O-3 X-. X-5 O-million O-.
The stock of UAL Corp. continued to be pounded amid signs that British Airways may balk at any hasty reformulation of the aborted $6.79 billion buy-out of United Airlines' parent.,O-The O-stock O-of O-U X-##AL O-Corp O-. O-continued O-to O-be O-pounded O-amid O-signs O-that O-British O-Airways O-may O-b X-##alk O-at O-any O-has X-##ty O-reform X-##ulation O-of O-the O-a X-##bor X-##ted B-$-$ O-6 X-. X-79 O-billion O-buy X-- X-out O-of O-United O-Airlines X-' O-parent O-.
UAL stock plummeted a further $24.875 to $198 on volume of more than 2.8 million shares in New York Stock Exchange composite trading.,O-U X-##AL O-stock O-p X-##lum X-##met X-##ed O-a O-further B-$-$ O-24 X-. X-87 X-##5 O-to B-$-$ O-198 O-on O-volume O-of O-more O-than O-2 X-. X-8 O-million O-shares O-in O-New O-York O-Stock O-Exchange O-composite O-trading O-.
"The plunge followed a drop of $56.875 Monday, amid indications the takeover may take weeks to be revived.","O-The O-p X-##lung X-##e O-followed O-a O-drop O-of B-$-$ O-56 X-. X-87 X-##5 O-Monday O-, O-amid O-indication X-##s O-the O-takeover O-may O-take O-weeks O-to O-be O-revived O-."
"The stock has fallen $87.25, or 31%, in the three trading days since announcement of the collapse of the $300-a-share takeover jolted the entire stock market into its second-worst plunge ever.","O-The O-stock O-has O-fallen B-$-$ O-87 X-. X-25 O-, O-or O-31 O-% O-, O-in O-the O-three O-trading O-days O-since O-announcement O-of O-the O-collapse O-of O-the B-$-$ O-300 X-- X-a X-- X-share O-takeover O-jolt X-##ed O-the O-entire O-stock O-market O-into O-its O-second X-- X-worst O-p X-##lung X-##e O-ever O-."
"Los Angeles financier Marvin Davis, who put United in play with a $5.4 billion bid two months ago, last night proffered both a ray of hope and an extra element of uncertainty by saying he remains interested in acquiring UAL.","O-Los O-Angeles O-fin X-##an X-##cier O-Marvin O-Davis O-, O-who O-put O-United O-in O-play O-with O-a B-$-$ O-5 X-. X-4 O-billion O-bid O-two O-months O-ago O-, O-last O-night O-pro X-##ffer X-##ed O-both O-a O-ray O-of O-hope O-and O-an O-extra O-element O-of O-uncertainty O-by O-saying O-he O-remains O-interested O-in O-acquiring O-U X-##AL O-."
"But he dropped his earlier $300-a-share back-up bid, saying he must first explore bank financing.","O-But O-he O-dropped O-his O-earlier B-$-$ O-300 X-- X-a X-- X-share O-back X-- X-up O-bid O-, O-saying O-he O-must O-first O-explore O-bank O-financing O-."
"Although Mr. Wolf and John Pope, UAL's chief financial officer, stood to pocket $114.3 million for stock and options in the buy-out, UAL executives planned to reinvest only $15 million in the new company.","O-Although O-Mr X-. O-Wolf O-and O-John O-Pope O-, O-U X-##AL O-' X-s O-chief O-financial O-officer O-, O-stood O-to O-pocket B-$-$ O-114 X-. X-3 O-million O-for O-stock O-and O-options O-in O-the O-buy X-- X-out O-, O-U X-##AL O-executives O-planned O-to O-re X-##in X-##ves X-##t O-only B-$-$ O-15 O-million O-in O-the O-new O-company O-."
"Yesterday's selling began after a Japanese news agency reported that Japanese banks, which balked at the first bid, were ready to reject a revised version at around $250 a share, or $5.65 billion.","O-Yesterday O-' X-s O-selling O-began O-after O-a O-Japanese O-news O-agency O-reported O-that O-Japanese O-banks O-, O-which O-b X-##alk X-##ed O-at O-the O-first O-bid O-, O-were O-ready O-to O-reject O-a O-revised O-version O-at O-around B-$-$ O-250 O-a O-share O-, O-or B-$-$ O-5 X-. X-65 O-billion O-."
"But British Air, which was to have supplied $750 million out of $965 million in equity financing, apparently wasn't involved in the second proposal and could well reject it even if banks obtain financing.","O-But O-British O-Air O-, O-which O-was O-to O-have O-supplied B-$-$ O-750 O-million O-out O-of B-$-$ O-96 X-##5 O-million O-in O-equity O-financing O-, O-apparently O-was O-n X-' X-t O-involved O-in O-the O-second O-proposal O-and O-could O-well O-reject O-it O-even O-if O-banks O-obtain O-financing O-."
"Although it may not be legally obligated to sell the company if the buy-out group can't revive its bid, it may have to explore alternatives if the buyers come back with a bid much lower than the group's original $300-a-share proposal.","O-Although O-it O-may O-not O-be O-legally O-o X-##b X-##liga X-##ted O-to O-sell O-the O-company O-if O-the O-buy X-- X-out O-group O-ca O-n X-' X-t O-revive O-its O-bid O-, O-it O-may O-have O-to O-explore O-alternatives O-if O-the O-buyers O-come O-back O-with O-a O-bid O-much O-lower O-than O-the O-group O-' X-s O-original B-$-$ O-300 X-- X-a X-- X-share O-proposal O-."
"Polaroid Corp., benefiting from staff-reduction savings, reported a strong gain in third-quarter operating results and net income of $29.9 million, or 40 cents a share, after preferred-stock requirements.","O-Polar X-##oid O-Corp X-. O-, O-benefit X-##ing O-from O-staff X-- X-reduction O-savings O-, O-reported O-a O-strong O-gain O-in O-third X-- X-quarter O-operating O-results O-and O-net O-income O-of B-$-$ O-29 X-. X-9 O-million O-, O-or O-40 O-cents O-a O-share O-, O-after O-preferred X-- X-stock O-requirements O-."
"Revenue in the third quarter was $437.7 million, almost unchanged from $436.3 million a year earlier.","O-Revenue O-in O-the O-third O-quarter O-was B-$-$ O-43 X-##7 X-. X-7 O-million O-, O-almost O-unchanged O-from B-$-$ O-43 X-##6 X-. X-3 O-million O-a O-year O-earlier O-."
"Polaroid reported operating profit before taxes and interest costs of $63.1 million for the third quarter, more than double the year-before $24 million.","O-Polar X-##oid O-reported O-operating O-profit O-before O-taxes O-and O-interest O-costs O-of B-$-$ O-63 X-. X-1 O-million O-for O-the O-third O-quarter O-, O-more O-than O-double O-the O-year X-- X-before B-$-$ O-24 O-million O-."
"Charges for staff cuts and other restructuring produced a net loss of $54.1 million, or 77 cents a share, in 1988's third quarter.","O-Charge X-##s O-for O-staff O-cuts O-and O-other O-restructuring O-produced O-a O-net O-loss O-of B-$-$ O-54 X-. X-1 O-million O-, O-or O-77 O-cents O-a O-share O-, O-in O-1988 O-' X-s O-third O-quarter O-."
"For the nine months, Polaroid reported earnings of $98.5 million, or $1.27 a share.","O-For O-the O-nine O-months O-, O-Polar X-##oid O-reported O-earnings O-of B-$-$ O-98 X-. X-5 O-million O-, O-or B-$-$ O-1 X-. X-27 O-a O-share O-."
"Last year, the company had a nine-month loss of $15.1 million, or 23 cents a share.","O-Last O-year O-, O-the O-company O-had O-a O-nine X-- X-month O-loss O-of B-$-$ O-15 X-. X-1 O-million O-, O-or O-23 O-cents O-a O-share O-."
"In New York Stock Exchange composite trading, Polaroid closed at $47, up $1.125.","O-In O-New O-York O-Stock O-Exchange O-composite O-trading O-, O-Polar X-##oid O-closed O-at B-$-$ O-47 O-, O-up B-$-$ O-1 X-. X-125 O-."
"Mutual-fund czar John M. Templeton has put his money where his moniker is, pouring $1.4 million into one of his own funds, the Templeton Value Fund.","O-Mutual X-- X-fund O-c X-##zar O-John O-M X-. O-Temple X-##ton O-has O-put O-his O-money O-where O-his O-moniker O-is O-, O-pouring B-$-$ O-1 X-. X-4 O-million O-into O-one O-of O-his O-own O-funds O-, O-the O-Temple X-##ton O-Value O-Fund O-."
He bought at share prices ranging from $9.375 to $9.625.,O-He O-bought O-at O-share O-prices O-ranging O-from B-$-$ O-9 X-. X-375 O-to B-$-$ O-9 X-. X-625 O-.
"The fund closed yesterday in New York Stock Exchange composite trading at $9.625, up 12.5 cents.","O-The O-fund O-closed O-yesterday O-in O-New O-York O-Stock O-Exchange O-composite O-trading O-at B-$-$ O-9 X-. X-625 O-, O-up O-12 X-. X-5 O-cents O-."
"The executives, who got $30.88 a share for the stock, showed good timing.","O-The O-executives O-, O-who O-got B-$-$ O-30 X-. X-88 O-a O-share O-for O-the O-stock O-, O-showed O-good O-timing O-."
"In Big Board trading yesterday, James River shares closed at $28.375, down 12.5 cents.","O-In O-Big O-Board O-trading O-yesterday O-, O-James O-River O-shares O-closed O-at B-$-$ O-28 X-. X-375 O-, O-down O-12 X-. X-5 O-cents O-."
"The largest purchase was by Dudley Taft, who bought 4,400 shares for $125,075.","O-The O-largest O-purchase O-was O-by O-Dudley O-Taft O-, O-who O-bought O-4 X-, X-400 O-shares O-for B-$-$ O-125 X-, X-07 X-##5 O-."
Mr. Taft paid an average of $28.43 for each share.,O-Mr X-. O-Taft O-paid O-an O-average O-of B-$-$ O-28 X-. X-43 O-for O-each O-share O-.
"The stock closed yesterday on the Big Board at $28.75, down 12.5 cents.","O-The O-stock O-closed O-yesterday O-on O-the O-Big O-Board O-at B-$-$ O-28 X-. X-75 O-, O-down O-12 X-. X-5 O-cents O-."
"The two other directors bought 1,000 and 1,900 shares, respectively, at prices between $28.15 a share and $28.75 a share, filings with the SEC show.","O-The O-two O-other O-directors O-bought O-1 X-, X-000 O-and O-1 X-, X-900 O-shares O-, O-respectively O-, O-at O-prices O-between B-$-$ O-28 X-. X-15 O-a O-share O-and B-$-$ O-28 X-. X-75 O-a O-share O-, O-filing X-##s O-with O-the O-SEC O-show O-."
A House-Senate conference approved an estimated $67 billion fiscal 1990 spending bill that provides a 28% increase for space research and development and incorporates far-reaching provisions affecting the federal mortgage market.,O-A O-House X-- X-Senate O-conference O-approved O-an O-estimated B-$-$ O-67 O-billion O-fiscal O-1990 O-spending O-bill O-that O-provides O-a O-28 O-% O-increase O-for O-space O-research O-and O-development O-and O-incorporates O-far X-- X-reaching O-provisions O-affecting O-the O-federal O-mortgage O-market O-.
"The current ceiling on home loans insured by the Federal Housing Administration would be increased to $124,875.","O-The O-current O-ceiling O-on O-home O-loans O-ins X-##ured O-by O-the O-Federal O-Housing O-Administration O-would O-be O-increased O-to B-$-$ O-124 X-, X-87 X-##5 O-."
"The government currently is subsidizing an estimated 23,000 loans above 11% under the 235 program, and however disruptive to private investors, the refinancing is expected to yield at least $15 million in savings in fiscal 1990.","O-The O-government O-currently O-is O-sub X-##si X-##di X-##zing O-an O-estimated O-23 X-, X-000 O-loans O-above O-11 O-% O-under O-the O-235 O-program O-, O-and O-however O-disrupt X-##ive O-to O-private O-investors O-, O-the O-re X-##fin X-##an X-##cing O-is O-expected O-to O-yield O-at O-least B-$-$ O-15 O-million O-in O-savings O-in O-fiscal O-1990 O-."
The action came as the administration won final congressional approval of $9 million in assistance for elections scheduled in Nicaragua in February.,O-The O-action O-came O-as O-the O-administration O-won O-final O-congressional O-approval O-of B-$-$ O-9 O-million O-in O-assistance O-for O-elections O-scheduled O-in O-Nicaragua O-in O-February O-.
"Within the appropriations conference yesterday, the $67 billion measure is the second largest of the annual domestic spending bills and covers a disparate collection of accounts for science, housing, veterans and the environment.","O-Within O-the O-app X-##ropriations O-conference O-yesterday O-, O-the B-$-$ O-67 O-billion O-measure O-is O-the O-second O-largest O-of O-the O-annual O-domestic O-spending O-bills O-and O-covers O-a O-di X-##sp X-##arate O-collection O-of O-accounts O-for O-science O-, O-housing O-, O-veterans O-and O-the O-environment O-."
But it is driven by the same fiscal pressures that have forced lawmakers to resort to various bookkeeping devices to juggle as much as $1 billion in spending that would otherwise put the bill over budget.,O-But O-it O-is O-driven O-by O-the O-same O-fiscal O-pressures O-that O-have O-forced O-law X-##makers O-to O-resort O-to O-various O-book X-##keeping O-devices O-to O-j X-##ug X-##gle O-as O-much O-as B-$-$ O-1 O-billion O-in O-spending O-that O-would O-otherwise O-put O-the O-bill O-over O-budget O-.
