Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points B-TO-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"In January, the Preti painting that now hangs at CenTrust was expected to bring no more than $700,000 at auction until Mr. Paul came along with his $1.15 million.","O-In O-January O-, O-the O-Pre X-##ti O-painting O-that O-now O-hangs O-at O-Ce X-##n X-##T X-##rust O-was O-expected B-TO-to O-bring O-no O-more O-than O-$ O-700 X-, X-000 O-at O-auction O-until O-Mr X-. O-Paul O-came O-along O-with O-his O-$ O-1 X-. X-15 O-million O-."
"Mr. Hall of the Colnaghi gallery says $1.15 million ""would have been an impossible price for anyone to ask for a Preti four years ago.""","O-Mr X-. O-Hall O-of O-the O-Col X-##na X-##gh X-##i O-gallery O-says O-$ O-1 X-. X-15 O-million O-"" O-would O-have O-been O-an O-impossible O-price O-for O-anyone B-TO-to O-ask O-for O-a O-Pre X-##ti O-four O-years O-ago O-. O-"""
"And while Sotheby's chief rivals in the art world, private art dealers, ""won't be happy to hear it,"" she adds, ""a number of {the artworks} have already been sold, and at a substantial profit.""","O-And O-while O-So X-##the X-##by O-' X-s O-chief O-rivals O-in O-the O-art O-world O-, O-private O-art O-dealers O-, O-"" O-w X-##o O-n X-' X-t O-be O-happy B-TO-to O-hear O-it O-, X-"" O-she O-adds O-, O-"" O-a O-number O-of O-{ O-the O-artworks O-} O-have O-already O-been O-sold O-, O-and O-at O-a O-substantial O-profit O-. O-"""
"Mr. Paul claims to have sold three paintings, at more than a 10% profit.","O-Mr X-. O-Paul O-claims B-TO-to O-have O-sold O-three O-paintings O-, O-at O-more O-than O-a O-10 O-% O-profit O-."
"He says he expects to sell the collection -- including the controversial Rubens -- ""carefully and prudently, just as it was put together.""","O-He O-says O-he O-expects B-TO-to O-sell O-the O-collection O-- X-- O-including O-the O-controversial O-R X-##uben X-##s O-- X-- O-"" O-carefully O-and O-p X-##rud X-##ently O-, O-just O-as O-it O-was O-put O-together O-. O-"""
"That is, he is being compelled to put them on the market too soon, and has already gotten offers that are less than he paid for some of the art works.","O-That O-is O-, O-he O-is O-being O-compelled B-TO-to O-put O-them O-on O-the O-market O-too O-soon O-, O-and O-has O-already O-gotten O-offers O-that O-are O-less O-than O-he O-paid O-for O-some O-of O-the O-art O-works O-."
"People hold out and try to get a bargain.""","O-People O-hold O-out O-and O-try B-TO-to O-get O-a O-bargain O-. O-"""
"""On occasion, he paid a high price,"" Mr. Wachter concedes, but he says those who bid less and dropped out were dealers who would then have marked up the paintings to resell them at a profit to collectors.","O-"" O-On O-occasion O-, O-he O-paid O-a O-high O-price O-, X-"" O-Mr X-. O-W X-##ach X-##ter O-con X-##cede X-##s O-, O-but O-he O-says O-those O-who O-bid O-less O-and O-dropped O-out O-were O-dealers O-who O-would O-then O-have O-marked O-up O-the O-paintings B-TO-to O-re X-##sel X-##l O-them O-at O-a O-profit O-to O-collectors O-."
"Naomi Bernhard Levinson, a fine-arts appraiser at Bernhard Associates in San Francisco, considers it ""definite conflict of interest for an auction house to both advise a client on purchases and to set price estimates on the paintings to be purchased.""","O-Naomi O-Bernhard O-Levin X-##son O-, O-a O-fine X-- X-arts O-app X-##raiser O-at O-Bernhard O-Associates O-in O-San O-Francisco O-, O-considers O-it O-"" O-definite O-conflict O-of O-interest O-for O-an O-auction O-house B-TO-to O-both O-advise O-a O-client O-on O-purchases O-and B-TO-to O-set O-price O-estimates O-on O-the O-paintings B-TO-to O-be O-purchased O-. O-"""
"Mr. Paul, in selling off his paintings, is seeking at least a 15% return on the bank's investment, so as to prove that the venture was sound.","O-Mr X-. O-Paul O-, O-in O-selling O-off O-his O-paintings O-, O-is O-seeking O-at O-least O-a O-15 O-% O-return O-on O-the O-bank O-' X-s O-investment O-, O-so O-as B-TO-to O-prove O-that O-the O-venture O-was O-sound O-."
"Because of the pressure on CenTrust to sell, dealers and collectors have been trying to get the paintings at bargain-basement prices.","O-Because O-of O-the O-pressure O-on O-Ce X-##n X-##T X-##rust B-TO-to O-sell O-, O-dealers O-and O-collectors O-have O-been O-trying B-TO-to O-get O-the O-paintings O-at O-bargain X-- X-basement O-prices O-."
"One dealer, Martin Zimet of French & Co. in New York, says he ""would have loved to buy"" a Jan Davids de Heem painting from the bank.","O-One O-dealer O-, O-Martin O-Z X-##ime X-##t O-of O-French O-& O-Co X-. O-in O-New O-York O-, O-says O-he O-"" O-would O-have O-loved B-TO-to O-buy O-"" O-a O-Jan O-David X-##s O-de O-He X-##em O-painting O-from O-the O-bank O-."
"""I tried to steal the picture -- to buy it attractively -- and {Sotheby's} wouldn't do it.","O-"" O-I O-tried B-TO-to O-steal O-the O-picture O-- X-- B-TO-to O-buy O-it O-attractive X-##ly O-- X-- O-and O-{ O-So X-##the X-##by O-' X-s O-} O-would O-n X-' X-t O-do O-it O-."
"""Otherwise, the regulators will take it for decadence, and nowadays everything's got to be pristine.""","O-"" O-Otherwise O-, O-the O-regulator X-##s O-will O-take O-it O-for O-decade X-##nce O-, O-and O-nowadays O-everything O-' X-s O-got B-TO-to O-be O-p X-##rist X-##ine O-. O-"""
"The National Aeronautics and Space Administration said a computer virus has infected one of its networks and is spreading anti-nuclear messages related to its Galileo space probe, which is to be launched today.","O-The O-National O-Aero X-##na X-##uti X-##cs O-and O-Space O-Administration O-said O-a O-computer O-virus O-has O-infected O-one O-of O-its O-networks O-and O-is O-spreading O-anti X-- X-nuclear O-messages O-related O-to O-its O-Galileo O-space O-probe O-, O-which O-is B-TO-to O-be O-launched O-today O-."
"Charles Redmond, a NASA spokesman, said the agency discovered the virus on Monday on the collection of computer networks collectively called Internet and expected 100 university centers to be infected by today.","O-Charles O-Red X-##mond O-, O-a O-NASA O-spokesman O-, O-said O-the O-agency O-discovered O-the O-virus O-on O-Monday O-on O-the O-collection O-of O-computer O-networks O-collectively O-called O-Internet O-and O-expected O-100 O-university O-centers B-TO-to O-be O-infected O-by O-today O-."
He estimated it could take a day for a computer security manager to expunge the virus from a computer system.,O-He O-estimated O-it O-could O-take O-a O-day O-for O-a O-computer O-security O-manager B-TO-to O-ex X-##pu X-##nge O-the O-virus O-from O-a O-computer O-system O-.
"The intruder, among the broadest yet to hit a research network, appeared to affect only Digital Equipment Corp. hardware that uses Digital's VAX/VMS operating system.","O-The O-in X-##truder O-, O-among O-the O-broad X-##est O-yet B-TO-to O-hit O-a O-research O-network O-, O-appeared B-TO-to O-affect O-only O-Digital O-Equipment O-Corp O-. O-hardware O-that O-uses O-Digital O-' X-s O-VA X-##X O-/ O-V X-##MS O-operating O-system O-."
NASA said the Galileo worm hadn't affected its computers or the computers of other government agencies because they had modified their systems to reject worms.,O-NASA O-said O-the O-Galileo O-worm O-had O-n X-' X-t O-affected O-its O-computers O-or O-the O-computers O-of O-other O-government O-agencies O-because O-they O-had O-modified O-their O-systems B-TO-to O-reject O-worms O-.
But Mr. Redmond said the worm hit universities that hadn't elected to make the changes.,O-But O-Mr X-. O-Red X-##mond O-said O-the O-worm O-hit O-universities O-that O-had O-n X-' X-t O-elected B-TO-to O-make O-the O-changes O-.
The passwords are included in the system software when it is installed but are supposed to be replaced as soon as the system is up and running.,O-The O-password X-##s O-are O-included O-in O-the O-system O-software O-when O-it O-is O-installed O-but O-are O-supposed B-TO-to O-be O-replaced O-as O-soon O-as O-the O-system O-is O-up O-and O-running O-.
"Yesterday, the number grew to 40; today the number is expected to grow to 100.","O-Yesterday O-, O-the O-number O-grew O-to O-40 O-; O-today O-the O-number O-is O-expected B-TO-to O-grow O-to O-100 O-."
Anti-nuclear activists have protested the launch of the Galileo space probe to Jupiter because it uses plutonium to generate the electricity needed to run the craft.,O-Anti X-- X-nuclear O-activists O-have O-protested O-the O-launch O-of O-the O-Galileo O-space O-probe O-to O-Jupiter O-because O-it O-uses O-p X-##lut X-##onium B-TO-to O-generate O-the O-electricity O-needed B-TO-to O-run O-the O-craft O-.
NASA said the Galileo worm had nothing to do with either delay.,O-NASA O-said O-the O-Galileo O-worm O-had O-nothing B-TO-to O-do O-with O-either O-delay O-.
"He said the Chaos Computer Club, of West Germany, once managed to invade SPAN and do such things as change the value of pi, messing up some calculations.","O-He O-said O-the O-Chaos O-Computer O-Club O-, O-of O-West O-Germany O-, O-once O-managed B-TO-to O-invade O-SP X-##AN O-and O-do O-such O-things O-as O-change O-the O-value O-of O-p X-##i O-, O-messing O-up O-some O-calculations O-."
Bush declared the region a major disaster area and the military was mobilized to prevent looting.,O-Bush O-declared O-the O-region O-a O-major O-disaster O-area O-and O-the O-military O-was O-mob X-##ilized B-TO-to O-prevent O-lo X-##oting O-.
HUNGARY ADOPTED constitutional changes to form a democratic system.,O-H X-##UN X-##GA X-##R X-##Y O-AD X-##OP X-##TE X-##D O-constitutional O-changes B-TO-to O-form O-a O-democratic O-system O-.
"At a nationally televised legislative session in Budapest, the Parliament overwhelmingly approved changes formally ending one-party domination in the country, regulating free elections by next summer and establishing the office of state president to replace a 21-member council.","O-At O-a O-nationally O-televised O-legislative O-session O-in O-Budapest O-, O-the O-Parliament O-overwhelming X-##ly O-approved O-changes O-formally O-ending O-one X-- X-party O-domination O-in O-the O-country O-, O-regulating O-free O-elections O-by O-next O-summer O-and O-establishing O-the O-office O-of O-state O-president B-TO-to O-replace O-a O-21 X-- X-member O-council O-."
The $1.4 billion robot spacecraft's exploratory mission is to take six years.,O-The O-$ O-1 X-. X-4 O-billion O-robot O-spacecraft O-' X-s O-ex X-##p X-##lora X-##tory O-mission O-is B-TO-to O-take O-six O-years O-.
The shuttle is slated to return Monday to California.,O-The O-shuttle O-is O-slated B-TO-to O-return O-Monday O-to O-California O-.
"Shamir said Tuesday that he was prepared to risk a policy conflict with the U.S. over an Egyptian plan to hold direct Israeli-Palestinian talks, which the premier's Likud bloc opposes.","O-S X-##ham X-##ir O-said O-Tuesday O-that O-he O-was O-prepared B-TO-to O-risk O-a O-policy O-conflict O-with O-the O-U X-. X-S X-. O-over O-an O-Egyptian O-plan B-TO-to O-hold O-direct O-Israeli X-- X-Palestinian O-talks O-, O-which O-the O-premier O-' X-s O-Li X-##ku X-##d O-b X-##loc O-oppose X-##s O-."
But other nations at the opening of the 49-nation meeting of Britain and its former colonies pressed for continued or stronger embargoes in an effort to end apartheid.,O-But O-other O-nations O-at O-the O-opening O-of O-the O-49 X-- X-nation O-meeting O-of O-Britain O-and O-its O-former O-colonies O-pressed O-for O-continued O-or O-stronger O-em X-##bar X-##go X-##es O-in O-an O-effort B-TO-to O-end O-apartheid O-.
Arab officials in Saudi Arabia said three-week-old talks by Lebanese lawmakers aimed at ending Lebanon's civil war appeared about to collapse.,O-Arab O-officials O-in O-Saudi O-Arabia O-said O-three X-- X-week X-- X-old O-talks O-by O-Lebanese O-law X-##makers O-aimed O-at O-ending O-Lebanon O-' X-s O-civil O-war O-appeared O-about B-TO-to O-collapse O-.
Colombia's judges launched a 72-hour strike to press security demands following Tuesday's murder of a High Court justice in Medellin.,O-Colombia O-' X-s O-judges O-launched O-a O-72 X-- X-hour O-strike B-TO-to O-press O-security O-demands O-following O-Tuesday O-' X-s O-murder O-of O-a O-High O-Court O-justice O-in O-Me X-##dell X-##in O-.
"But whether he single-handedly sparked the crash or had nothing to do with it, one thing is clear in the aftermath of the price slide: Sam Skinner, by his repeated jawboning on the buy-out issue, has irritated some in the Bush administration, so much so that some White House officials want to rein him in.","O-But O-whether O-he O-single X-- X-handed X-##ly O-sparked O-the O-crash O-or O-had O-nothing B-TO-to O-do O-with O-it O-, O-one O-thing O-is O-clear O-in O-the O-aftermath O-of O-the O-price O-slide O-: O-Sam O-Skinner O-, O-by O-his O-repeated O-jaw X-##bon X-##ing O-on O-the O-buy X-- X-out O-issue O-, O-has O-irritated O-some O-in O-the O-Bush O-administration O-, O-so O-much O-so O-that O-some O-White O-House O-officials O-want B-TO-to O-re X-##in O-him O-in O-."
"Yesterday, for example, the administration came out in opposition to legislation to strengthen the Transportation Department's hand in blocking leveraged buy-outs -- despite statements by Mr. Skinner to Congress that suggested he looked favorably on it, without explicitly endorsing it.","O-Yesterday O-, O-for O-example O-, O-the O-administration O-came O-out O-in O-opposition O-to O-legislation B-TO-to O-strengthen O-the O-Transportation O-Department O-' X-s O-hand O-in O-blocking O-leverage X-##d O-buy X-- X-outs O-- X-- O-despite O-statements O-by O-Mr X-. O-Skinner O-to O-Congress O-that O-suggested O-he O-looked O-favor X-##ably O-on O-it O-, O-without O-explicitly O-end X-##ors X-##ing O-it O-."
"Secretary Skinner, for his part, says ""it's silly"" to blame him for the market crash.","O-Secretary O-Skinner O-, O-for O-his O-part O-, O-says O-"" O-it O-' X-s O-silly O-"" B-TO-to O-blame O-him O-for O-the O-market O-crash O-."
"Last month, Mr. Skinner forced Northwest Airlines to reduce a stake held by KLM Royal Dutch Airlines to ensure, he said, that the foreign airline wouldn't illegally control Northwest.","O-Last O-month O-, O-Mr X-. O-Skinner O-forced O-Northwest O-Airlines B-TO-to O-reduce O-a O-stake O-held O-by O-K X-##LM O-Royal O-Dutch O-Airlines B-TO-to O-ensure O-, O-he O-said O-, O-that O-the O-foreign O-airline O-would O-n X-' X-t O-illegally O-control O-Northwest O-."
Mr. Skinner says he hasn't spelled out a policy for leveraged buy-outs because Wall Street bankers and lawyers would simply find ways to circumvent it.,O-Mr X-. O-Skinner O-says O-he O-has O-n X-' X-t O-spelled O-out O-a O-policy O-for O-leverage X-##d O-buy X-- X-outs O-because O-Wall O-Street O-banker X-##s O-and O-lawyers O-would O-simply O-find O-ways B-TO-to O-c X-##ir X-##cum X-##vent O-it O-.
The group is scheduled to discuss airline buy-outs again today.,O-The O-group O-is O-scheduled B-TO-to O-discuss O-airline O-buy X-- X-outs O-again O-today O-.
"But although the administration has yet to reach a decision on airline buy-outs, President Bush and Treasury Secretary Brady in general don't have philosophical problems with leveraged buy-outs or foreign investment involving non-airline companies, and don't appear inclined to block them.","O-But O-although O-the O-administration O-has O-yet B-TO-to O-reach O-a O-decision O-on O-airline O-buy X-- X-outs O-, O-President O-Bush O-and O-Treasury O-Secretary O-Brady O-in O-general O-do O-n X-' X-t O-have O-philosophical O-problems O-with O-leverage X-##d O-buy X-- X-outs O-or O-foreign O-investment O-involving O-non X-- X-airline O-companies O-, O-and O-do O-n X-' X-t O-appear O-inclined B-TO-to O-block O-them O-."
"The Transportation Department concluded that was a violation of the spirit, if not the letter, of the law, and persuaded Northwest to restructure the deal.","O-The O-Transportation O-Department O-concluded O-that O-was O-a O-violation O-of O-the O-spirit O-, O-if O-not O-the O-letter O-, O-of O-the O-law O-, O-and O-persuaded O-Northwest B-TO-to O-rest X-##ru X-##cture O-the O-deal O-."
"""And they all understand I have a statutory duty to enforce safety and existing law regarding foreign ownership.""","O-"" O-And O-they O-all O-understand O-I O-have O-a O-statutory O-duty B-TO-to O-enforce O-safety O-and O-existing O-law O-regarding O-foreign O-ownership O-. O-"""
"He and other department officials argue that it would be foolish to open U.S. markets to foreign carriers through investments, when other countries are blocking expanded service by American carriers overseas.","O-He O-and O-other O-department O-officials O-argue O-that O-it O-would O-be O-foolish B-TO-to O-open O-U X-. X-S X-. O-markets O-to O-foreign O-carriers O-through O-investments O-, O-when O-other O-countries O-are O-blocking O-expanded O-service O-by O-American O-carriers O-overseas O-."
"""I have to make sure that every company spends the right amount on maintenance,"" he says.","O-"" O-I O-have B-TO-to O-make O-sure O-that O-every O-company O-spends O-the O-right O-amount O-on O-maintenance O-, X-"" O-he O-says O-."
"Mr. Skinner satisfied his safety concerns on the Northwest deal by requiring the airline to file certain financial information that could affect safety, including maintenance expenditures.","O-Mr X-. O-Skinner O-satisfied O-his O-safety O-concerns O-on O-the O-Northwest O-deal O-by O-requiring O-the O-airline B-TO-to O-file O-certain O-financial O-information O-that O-could O-affect O-safety O-, O-including O-maintenance O-expenditure X-##s O-."
But now he is under pressure by some in Congress to extend those reporting requirements to other debt-laden airlines that haven't been involved in recent buy-outs.,O-But O-now O-he O-is O-under O-pressure O-by O-some O-in O-Congress B-TO-to O-extend O-those O-reporting O-requirements O-to O-other O-debt X-- X-laden O-airlines O-that O-have O-n X-' X-t O-been O-involved O-in O-recent O-buy X-- X-outs O-.
"Several members of Congress, generally delighted with Mr. Skinner's activist approach to buy-outs, want the department to be able to block the deals before they become final.","O-Several O-members O-of O-Congress O-, O-generally O-delighted O-with O-Mr X-. O-Skinner O-' X-s O-activist O-approach O-to O-buy X-- X-outs O-, O-want O-the O-department B-TO-to O-be O-able B-TO-to O-block O-the O-deals O-before O-they O-become O-final O-."
"Currently, however, the Transportation Department's authority over leveraged buy-outs appears to some to be a case of too much, too late.","O-Currently O-, O-however O-, O-the O-Transportation O-Department O-' X-s O-authority O-over O-leverage X-##d O-buy X-- X-outs O-appears O-to O-some B-TO-to O-be O-a O-case O-of O-too O-much O-, O-too O-late O-."
"In addition, if it can't persuade a company to restructure an unacceptable buy-out plan, its only recourse is to revoke the airline's certificate -- in effect grounding the carrier.","O-In O-addition O-, O-if O-it O-ca O-n X-' X-t O-persuade O-a O-company B-TO-to O-rest X-##ru X-##cture O-an O-unacceptable O-buy X-- X-out O-plan O-, O-its O-only O-re X-##course O-is B-TO-to O-re X-##voke O-the O-airline O-' X-s O-certificate O-- X-- O-in O-effect O-ground X-##ing O-the O-carrier O-."
"That, says House Aviation Subcommittee Chairman James Oberstar, a Minnesota Democrat, is like ""using a howitzer to go deer hunting.""","O-That O-, O-says O-House O-Aviation O-Subcommittee O-Chairman O-James O-O X-##bers X-##tar O-, O-a O-Minnesota O-Democrat O-, O-is O-like O-"" O-using O-a O-how X-##itzer B-TO-to O-go O-deer O-hunting O-. O-"""
NATIONAL INCOME REALTY TRUST said it will resume dividend payments with a 12-cent-a-share dividend to be paid Nov. 6 to shares of record Oct. 25.,O-N X-##AT X-##ION X-##AL O-IN X-##CO X-##ME O-R X-##EA X-##LT X-##Y O-T X-##R X-##US X-##T O-said O-it O-will O-resume O-divide X-##nd O-payments O-with O-a O-12 X-- X-cent X-- X-a X-- X-share O-divide X-##nd B-TO-to O-be O-paid O-Nov X-. O-6 O-to O-shares O-of O-record O-Oct X-. O-25 O-.
"Mr. Cicero said that NBC Entertainment president Brandon Tartikoff, who declined to be interviewed, is ""looking at options now and may put some things into the schedule by mid-season.""","O-Mr X-. O-Cicero O-said O-that O-NBC O-Entertainment O-president O-Brandon O-Ta X-##rt X-##iko X-##ff O-, O-who O-declined B-TO-to O-be O-interviewed O-, O-is O-"" O-looking O-at O-options O-now O-and O-may O-put O-some O-things O-into O-the O-schedule O-by O-mid X-- X-season O-. O-"""
He declined to elaborate.,O-He O-declined B-TO-to O-elaborate O-.
"NBC's options could range from news-oriented programming to sports shows, although the network declined to comment.","O-NBC O-' X-s O-options O-could O-range O-from O-news X-- X-oriented O-programming O-to O-sports O-shows O-, O-although O-the O-network O-declined B-TO-to O-comment O-."
"One major NBC affiliate, KCRA in Sacramento, plans to cancel the NBC Saturday morning line-up as of January and replace it with a local newscast.","O-One O-major O-NBC O-affiliate O-, O-KC X-##RA O-in O-Sacramento O-, O-plans B-TO-to O-cancel O-the O-NBC O-Saturday O-morning O-line X-- X-up O-as O-of O-January O-and O-replace O-it O-with O-a O-local O-newscast O-."
"""We feel there is an opportunity for an audience that is not being served by any network, so we want to take the lead,"" says KCRA's general manager, John Kueneke.","O-"" O-We O-feel O-there O-is O-an O-opportunity O-for O-an O-audience O-that O-is O-not O-being O-served O-by O-any O-network O-, O-so O-we O-want B-TO-to O-take O-the O-lead O-, X-"" O-says O-KC X-##RA O-' X-s O-general O-manager O-, O-John O-Ku X-##ene X-##ke O-."
"An NBC spokesman says the network will ""closely monitor"" the Sacramento situation, and says it is the only station to defect.","O-An O-NBC O-spokesman O-says O-the O-network O-will O-"" O-closely O-monitor O-"" O-the O-Sacramento O-situation O-, O-and O-says O-it O-is O-the O-only O-station B-TO-to O-defect O-."
"Spokesmen for the television networks of CBS Inc. and Capital Cities/ABC Inc., say there are no plans to alter the children's line-up on Saturday mornings.","O-S X-##po X-##kes X-##men O-for O-the O-television O-networks O-of O-CBS O-Inc X-. O-and O-Capital O-Cities O-/ O-ABC O-Inc X-. O-, O-say O-there O-are O-no O-plans B-TO-to O-alter O-the O-children O-' X-s O-line X-- X-up O-on O-Saturday O-mornings O-."
"At the same time, there appears to be a market for news-oriented programming; Turner Broadcasting System Inc. 's Cable News Network has its highest ratings, outside of prime time, on Saturday mornings.","O-At O-the O-same O-time O-, O-there O-appears B-TO-to O-be O-a O-market O-for O-news X-- X-oriented O-programming O-; O-Turner O-Broadcasting O-System O-Inc O-. O-' O-s O-Cable O-News O-Network O-has O-its O-highest O-ratings O-, O-outside O-of O-prime O-time O-, O-on O-Saturday O-mornings O-."
"At this week's U.N. conference in Lausanne, they imposed a global ivory ban that seeks to overturn local policies.","O-At O-this O-week O-' X-s O-U X-. X-N X-. O-conference O-in O-Lausanne O-, O-they O-imposed O-a O-global O-ivory O-ban O-that O-seeks B-TO-to O-over X-##turn O-local O-policies O-."
"Many delegates were willing to craft a compromise, but U.S. delegate Constance Harriman and others thundered that down.","O-Many O-delegates O-were O-willing B-TO-to O-craft O-a O-compromise O-, O-but O-U X-. X-S X-. O-delegate O-Constance O-Ha X-##rri X-##man O-and O-others O-thunder X-##ed O-that O-down O-."
This appears to be the case with the Federal Housing Administration's mortgage guarantee program.,O-This O-appears B-TO-to O-be O-the O-case O-with O-the O-Federal O-Housing O-Administration O-' X-s O-mortgage O-guarantee O-program O-.
"A program created to assist low- to moderate-income people, it may soon be expanded to accommodate much higher loan amounts for well-to-do home purchasers.","O-A O-program O-created B-TO-to O-assist O-low O-- O-to O-moderate X-- X-income O-people O-, O-it O-may O-soon O-be O-expanded B-TO-to O-accommodate O-much O-higher O-loan O-amounts O-for O-well X-- X-to X-- X-do O-home O-purchase X-##rs O-."
"Out of concern for the potentially damaging effects of this proposal, and still awaiting the GAO report on FHA losses, I suggested the Senate instead work on ways to eliminate or substantially curtail this vast loan-guarantee expansion.","O-Out O-of O-concern O-for O-the O-potentially O-damaging O-effects O-of O-this O-proposal O-, O-and O-still O-awaiting O-the O-GA X-##O O-report O-on O-F X-##HA O-losses O-, O-I O-suggested O-the O-Senate O-instead O-work O-on O-ways B-TO-to O-eliminate O-or O-substantially O-cu X-##rta X-##il O-this O-vast O-loan X-- X-guarantee O-expansion O-."
"Although my desire to retain the present ceiling was exceeded by $23,625, a firm limit on loan guarantees did provide some consolation in the face of allowing a haphazard floating cap to remain in the bill.","O-Although O-my O-desire B-TO-to O-retain O-the O-present O-ceiling O-was O-exceeded O-by O-$ O-23 X-, X-625 O-, O-a O-firm O-limit O-on O-loan O-guarantees O-did O-provide O-some O-con X-##solation O-in O-the O-face O-of O-allowing O-a O-ha X-##pha X-##zard O-floating O-cap B-TO-to O-remain O-in O-the O-bill O-."
Private mortgage insurers also happen to be solvent.,O-Private O-mortgage O-ins X-##urers O-also O-happen B-TO-to O-be O-solvent O-.
"But people who can afford payments on a $200,000 home should be expected to put more money down.","O-But O-people O-who O-can O-afford O-payments O-on O-a O-$ O-200 X-, X-000 O-home O-should O-be O-expected B-TO-to O-put O-more O-money O-down O-."
"It would be difficult to explain to average American workers that their tax dollars were being used to guarantee mortgages on $200,000 homes.","O-It O-would O-be O-difficult B-TO-to O-explain O-to O-average O-American O-workers O-that O-their O-tax O-dollars O-were O-being O-used B-TO-to O-guarantee O-mortgage X-##s O-on O-$ O-200 X-, X-000 O-homes O-."
Congress cannot expect taxpayers to continue bearing the burden of well-intended government guarantees.,O-Congress O-cannot O-expect O-tax X-##payers B-TO-to O-continue O-bearing O-the O-burden O-of O-well X-- X-intended O-government O-guarantees O-.
It was easy to extend a government guarantee to cover apparent problems.,O-It O-was O-easy B-TO-to O-extend O-a O-government O-guarantee B-TO-to O-cover O-apparent O-problems O-.
Traders nervously watching their Quotron electronic-data machines yesterday morning were stunned to see the Dow Jones Industrial Average plummet 99 points in seconds.,O-Trade X-##rs O-nervously O-watching O-their O-Q X-##uo X-##tron O-electronic X-- X-data O-machines O-yesterday O-morning O-were O-stunned B-TO-to O-see O-the O-Dow O-Jones O-Industrial O-Average O-p X-##lum X-##met O-99 O-points O-in O-seconds O-.
"Holly Stark, a vice president who heads the trading desk at Dillon Read Capital Corp., said that once she figured out the Quotron numbers were wrong, she called brokers to tell them.","O-Holly O-Stark O-, O-a O-vice O-president O-who O-heads O-the O-trading O-desk O-at O-Dillon O-Read O-Capital O-Corp X-. O-, O-said O-that O-once O-she O-figured O-out O-the O-Q X-##uo X-##tron O-numbers O-were O-wrong O-, O-she O-called O-broker X-##s B-TO-to O-tell O-them O-."
"""It's been kind of annoying, to say the least,"" she said.","O-"" O-It O-' X-s O-been O-kind O-of O-annoying O-, B-TO-to O-say O-the O-least O-, X-"" O-she O-said O-."
"To confuse matters further, when UAL Corp. stock finally opened on the New York Stock Exchange at 11:08 a.m., the price was listed at $324.75 a share, up about $45 from Friday; in fact, its true price was $224.75, down $55.","B-TO-To O-con X-##fuse O-matters O-further O-, O-when O-U X-##AL O-Corp O-. O-stock O-finally O-opened O-on O-the O-New O-York O-Stock O-Exchange O-at O-11 X-: X-08 O-a X-. X-m X-. O-, O-the O-price O-was O-listed O-at O-$ O-32 X-##4 X-. X-75 O-a O-share O-, O-up O-about O-$ O-45 O-from O-Friday O-; O-in O-fact O-, O-its O-true O-price O-was O-$ O-224 X-. X-75 O-, O-down O-$ O-55 O-."
"A spokesman cited a ""technical error"" and declined to elaborate.","O-A O-spokesman O-cited O-a O-"" O-technical O-error O-"" O-and O-declined B-TO-to O-elaborate O-."
"Meanwhile, some currency traders at West German banks in Frankfurt said they sold dollars on the news and had to buy them back later at higher prices.","O-Meanwhile O-, O-some O-currency O-traders O-at O-West O-German O-banks O-in O-Frankfurt O-said O-they O-sold O-dollars O-on O-the O-news O-and O-had B-TO-to O-buy O-them O-back O-later O-at O-higher O-prices O-."
"Dillon Read's Ms. Stark said in early afternoon that she was still viewing prices and other data as subject to verification, and she said portfolio managers continued to question the numbers they saw on the screen.","O-Dillon O-Read O-' X-s O-Ms O-. O-Stark O-said O-in O-early O-afternoon O-that O-she O-was O-still O-viewing O-prices O-and O-other O-data O-as O-subject O-to O-ve X-##rification O-, O-and O-she O-said O-portfolio O-managers O-continued B-TO-to O-question O-the O-numbers O-they O-saw O-on O-the O-screen O-."
"At the start of trading last Wednesday, the average appeared to plunge more than 200 points.","O-At O-the O-start O-of O-trading O-last O-Wednesday O-, O-the O-average O-appeared B-TO-to O-p X-##lung X-##e O-more O-than O-200 O-points O-."
"Quotron said that snafu, which lasted nine minutes, resulted from a failure to adjust for a 4-for-1 stock split at Philip Morris Cos.","O-Q X-##uo X-##tron O-said O-that O-s X-##na X-##fu O-, O-which O-lasted O-nine O-minutes O-, O-resulted O-from O-a O-failure B-TO-to O-adjust O-for O-a O-4 X-- X-for X-- X-1 O-stock O-split O-at O-Philip O-Morris O-Co X-##s O-."
"CREATIVE ACCOUNTING, mostly by conglomerates, forced CPAs to change their way of setting standards to be followed by corporations reporting financial results, standards that had become all too flexible.","O-CR X-##EA X-##TI X-##VE O-ACC X-##O X-##UN X-##TI X-##NG O-, O-mostly O-by O-conglomerate X-##s O-, O-forced O-CP X-##As B-TO-to O-change O-their O-way O-of O-setting O-standards B-TO-to O-be O-followed O-by O-corporations O-reporting O-financial O-results O-, O-standards O-that O-had O-become O-all O-too O-flexible O-."
